blockchain_service_memory_alloc_bytes (bytes),blockchain_service_memory_num_gc,blockchain_service_memory_sys_bytes (bytes),blockchain_service_memory_total_alloc_bytes (bytes),blockchain_service_timestamp,scenario_dataset_name,scenario_ipfs_enabled,scenario_max_iterations (iterations),scenario_max_rollbacks (rollbacks),scenario_num_clients (clients),scenario_target_accuracy (%),system_cpu_total_time_seconds (seconds),system_disk_total_bytes_read (bytes),system_disk_total_bytes_written (bytes),system_duration_seconds (seconds),system_memory_avg_used_bytes (bytes),system_memory_max_used_bytes (bytes),system_memory_min_used_bytes (bytes),system_network_total_bytes_recv (bytes),system_network_total_bytes_sent (bytes),system_sample_count (operations),timing_blockchain_get_most_recent_rollback_duration (seconds),timing_blockchain_get_most_recent_rollback_found,timing_blockchain_get_most_recent_rollback_total_duration (seconds),timing_blockchain_get_provenance_duration (seconds),timing_blockchain_get_provenance_model_version_id,timing_blockchain_get_provenance_total_duration (seconds),timing_blockchain_list_models_duration (seconds),timing_blockchain_list_models_total,timing_blockchain_list_models_total_duration (seconds),timing_blockchain_record_validation_duration (seconds),timing_blockchain_record_validation_model_version_id,timing_blockchain_record_validation_total_duration (seconds),timing_blockchain_record_validation_transaction_id,timing_blockchain_register_duration (seconds),timing_blockchain_register_iteration,timing_blockchain_register_model_version_id,timing_blockchain_register_total_duration (seconds),timing_blockchain_register_transaction_id,timing_fedavg_aggregation_duration (seconds),timing_fedavg_aggregation_excluded_clients,timing_fedavg_aggregation_iteration,timing_fedavg_aggregation_num_clients (clients),timing_fedavg_aggregation_total_duration (seconds),timing_fedavg_aggregation_total_samples,timing_ipfs_download_cid,timing_ipfs_download_context,timing_ipfs_download_duration (seconds),timing_ipfs_download_model_version_id,timing_ipfs_download_parent_version_id,timing_ipfs_download_size_bytes (bytes),timing_ipfs_download_total_duration (seconds),timing_ipfs_upload_cid,timing_ipfs_upload_duration (seconds),timing_ipfs_upload_model_version_id,timing_ipfs_upload_size_bytes (bytes),timing_ipfs_upload_total_duration (seconds),timing_model_validation_accuracy (%),timing_model_validation_duration (seconds),timing_model_validation_loss (value),timing_model_validation_model_version_id,timing_model_validation_total_duration (seconds),timing_sample_index
945224,0,7969808,945224,2026-02-12T20:38:44Z,caltech101,true,100,10,10,98.000000,7.770000,0,1175552,0.658861,5220112384.000000,5236436992,5203787776,9989840,9835670,2,0.002893,false,0.002893,0.001133,model_v0_initial_1770928645_a2751f39,0.001133,0.015665,1,0.015665,0.001138,model_v1_1770928718_c37d777f,0.001138,tx_validation_model_v1_1770928718_c37d777f,0.001186,1,model_v1_1770928718_c37d777f,0.001186,481ccca00ec02d7b122ab595a85b97ac45509fed8f09510ba5b7966224a4ec5b,4.753188,0,1,10,4.753188,6942,QmbVPuvWSgokStVQxRfCYLwPsDpX2eZeHnXJjovwZtRNkX,,0.353931,,,9787070,0.353931,QmUp6j7ANqg6ywEKCPQWL89itaDt4J9eGxHUWmDAS9Tm9o,0.028377,model_v1_1770928718_c37d777f,9788634,0.028377,13.940092,4.729926,7.790930,model_v1_1770928718_c37d777f,4.729926,0
1524488,0,8231952,1524488,2026-02-12T20:40:07Z,caltech101,true,100,10,10,98.000000,6.660000,0,987136,0.564314,5474396160.000000,5475942400,5472849920,9969897,9836734,2,0.001334,false,0.001334,0.002652,model_v1_1770928718_c37d777f,0.002652,0.004951,1,0.004951,0.001415,model_v2_1770928801_a84afd7c,0.001415,tx_validation_model_v2_1770928801_a84afd7c,0.001363,2,model_v2_1770928801_a84afd7c,0.001363,fdeaaf9e0699337217a40176179b96e41aaa25f5ddbb0c42cc3ef0cdd88851c5,4.435006,0,2,10,4.435006,6942,QmWRdHFBF1xWtqZsfyJfhQCw1c4CGKcbAR5wyjwr8pqfU5,,0.450477,,,9786561,0.450477,QmbvRGYtDc8z4LocNRGWBfmgkeqoNWH6Up4d1hLXKYrPdm,0.036551,model_v2_1770928801_a84afd7c,9788830,0.036551,19.527650,4.484848,18.120982,model_v2_1770928801_a84afd7c,4.484848,1
2272912,0,8231952,2272912,2026-02-12T20:41:29Z,caltech101,true,100,10,10,98.000000,6.360000,0,995328,0.537075,5461483520.000000,5497360384,5425606656,9951994,9824255,2,0.001400,false,0.001400,0.001644,model_v0_initial_1770928645_a2751f39,0.001644,0.007158,1,0.007158,0.001254,model_v3_1770928883_0454ea0e,0.001254,tx_validation_model_v3_1770928883_0454ea0e,0.001438,3,model_v3_1770928883_0454ea0e,0.001438,505cfa1db5f5615055666583aad218f1bdcd7557f17863768d78e39dc34bb554,4.363341,0,3,10,4.363341,6942,QmZ4pivkPyPPE3x5sjNRhkoGNRAiKTQ7hYitYSp2kXn3ER,,0.344035,,,9788232,0.344035,QmTmVHXUv2CMTATTfw6W6kymkDrqx5YHv7Dodqna5xNcx2,0.045512,model_v3_1770928883_0454ea0e,9789665,0.045512,20.852535,4.718616,23.610048,model_v3_1770928883_0454ea0e,4.718616,2
3029184,0,12426256,3029184,2026-02-12T20:42:47Z,caltech101,true,100,10,10,98.000000,6.570000,0,1032192,0.552418,5634324480.000000,5648949248,5619699712,10017806,9835385,2,0.001266,false,0.001266,0.006989,model_v1_1770928718_c37d777f,0.006989,0.004106,1,0.004106,0.001539,model_v4_1770928961_862e9142,0.001539,tx_validation_model_v4_1770928961_862e9142,0.001261,4,model_v4_1770928961_862e9142,0.001261,34b3b695a06c4d5c0f038901890e49397e88a9a48893d19c33bc186e5e323f50,4.584820,0,4,10,4.584820,6942,QmZ4pivkPyPPE3x5sjNRhkoGNRAiKTQ7hYitYSp2kXn3ER,,0.333611,,,9788232,0.333611,QmbkFpPHVqcgmVDDYQffQpk95KpWRsgw6axtbxugKg6PaJ,0.027594,model_v4_1770928961_862e9142,9788306,0.027594,22.811060,4.595833,23.809453,model_v4_1770928961_862e9142,4.595833,3
804168,1,13016080,3999928,2026-02-12T20:44:10Z,caltech101,true,100,10,10,98.000000,6.820000,0,892928,0.579213,5553635328.000000,5560483840,5546786816,10033195,9841916,2,0.001353,false,0.001353,0.001379,model_v1_1770928718_c37d777f,0.001379,0.015145,1,0.015145,0.001407,model_v5_1770929044_fa3d43c1,0.001407,tx_validation_model_v5_1770929044_fa3d43c1,0.001275,5,model_v5_1770929044_fa3d43c1,0.001275,829330f8a74f5df3b2edb5ef4488c00526ada357c6806b7ccd4e7f57d7c66c27,4.493897,0,5,10,4.493897,6942,QmX8GV9BKo9E2WNQWY6vjwyUDYfha4cFzJDeKq1pAeW2nL,,0.319595,,,9783808,0.319595,QmaEg82sNGhEoG3sSVA42zwApu88c3jaSFEzv5zhSS5puV,0.020522,model_v5_1770929044_fa3d43c1,9787410,0.020522,24.942396,4.621489,22.026735,model_v5_1770929044_fa3d43c1,4.621489,4
1825256,1,13016080,5021016,2026-02-12T20:45:33Z,caltech101,true,100,10,10,98.000000,6.400000,0,1015808,0.542209,5711622144.000000,5712711680,5710532608,9992410,9825884,2,0.002511,false,0.002511,0.002557,model_v1_1770928718_c37d777f,0.002557,0.007660,1,0.007660,0.001199,model_v6_1770929127_4cb6fa80,0.001199,tx_validation_model_v6_1770929127_4cb6fa80,0.001058,6,model_v6_1770929127_4cb6fa80,0.001058,b116d9ca6cee5577b7f1cf29a66daf60d41f3811cbe296aeb84a000078c97e24,4.474250,0,6,10,4.474250,6942,QmWRdHFBF1xWtqZsfyJfhQCw1c4CGKcbAR5wyjwr8pqfU5,,0.328667,,,9786561,0.328667,QmXQntiaVP3MPpa4Hth6bPNzRhfMw2MEJF9HmHuMKkh8RY,0.022237,model_v6_1770929127_4cb6fa80,9786010,0.022237,26.728111,4.548928,20.346484,model_v6_1770929127_4cb6fa80,4.548928,5
1475400,2,13081616,6258312,2026-02-12T20:46:57Z,caltech101,true,100,10,10,98.000000,7.270000,0,827392,0.617610,5620121600.000000,5637816320,5602426880,9948106,9820874,2,0.001480,false,0.001480,0.017104,model_v1_1770928718_c37d777f,0.017104,0.007422,1,0.007422,0.001638,model_v7_1770929211_b520772d,0.001638,tx_validation_model_v7_1770929211_b520772d,0.001220,7,model_v7_1770929211_b520772d,0.001220,81b273604bf23a904aabdb8a351708fb418bae3fe1f71880172f563bf5eb3b1e,5.219544,0,7,10,5.219544,6942,Qmd15maUJ74J4BLUJmgoWZ6vDpdiEa2DQf7FCfGNBi8Acq,,0.314684,,,9784874,0.314684,QmYw4uNNXKu1Sv6AYvs58P8JoJD5arvQJkavAzAmN7C5E8,0.024173,model_v7_1770929211_b520772d,9784712,0.024173,29.320276,5.013817,19.189815,model_v7_1770929211_b520772d,5.013817,6
1145760,3,13081616,7755656,2026-02-12T20:48:23Z,caltech101,true,100,10,10,98.000000,6.640000,0,983040,0.565397,5732077568.000000,5752123392,5712031744,9979741,9821239,2,0.001270,false,0.001270,0.007148,model_v1_1770928718_c37d777f,0.007148,0.002878,1,0.002878,0.001349,model_v8_1770929297_476c1ec1,0.001349,tx_validation_model_v8_1770929297_476c1ec1,0.001312,8,model_v8_1770929297_476c1ec1,0.001312,d85c94f9455050fddca680627840aadae71de0753c7acbcb6b242a67421a11f5,4.621923,0,8,10,4.621923,6942,Qmdd1wgdJX2qh1qpyEx6Xsc53yFUbtwQW72hj3viNejSRK,,0.316880,,,9787934,0.316880,QmPw7aG2CDvxR6mskSBTcZj3RvE5FFJ5cVpqHRFqZ76BqG,0.029224,model_v8_1770929297_476c1ec1,9782515,0.029224,31.797235,4.638104,18.726365,model_v8_1770929297_476c1ec1,4.638104,7
2442816,3,13081616,9052712,2026-02-12T20:49:38Z,caltech101,true,100,10,10,98.000000,6.240000,0,1081344,0.525935,5720813568.000000,5740560384,5701066752,9987764,9839360,2,0.001523,false,0.001523,0.010625,model_v1_1770928718_c37d777f,0.010625,0.003691,1,0.003691,0.001321,model_v9_1770929372_8eb1a7b5,0.001321,tx_validation_model_v9_1770929372_8eb1a7b5,0.001109,9,model_v9_1770929372_8eb1a7b5,0.001109,01facdb598c2271e8fd28f8cd09f1e27e5d418a93c4f1c015248d256daaa512b,4.437206,0,9,10,4.437206,6942,Qmd15maUJ74J4BLUJmgoWZ6vDpdiEa2DQf7FCfGNBi8Acq,,0.317744,,,9784874,0.317744,QmcsPgjCswUxw88zC4KQFVnS4dZ4gmrJWD5C4tztm3zyEn,0.021903,model_v9_1770929372_8eb1a7b5,9780839,0.021903,33.352535,4.425067,18.700371,model_v9_1770929372_8eb1a7b5,4.425067,8
1816280,4,13081616,10647992,2026-02-12T20:50:58Z,caltech101,true,100,10,10,98.000000,6.510000,0,1196032,0.556360,5775632384.000000,5819199488,5732065280,10018436,9842705,2,0.001222,false,0.001222,0.007660,model_v1_1770928718_c37d777f,0.007660,0.003432,1,0.003432,0.001709,model_v10_1770929452_e5b1cd15,0.001709,tx_validation_model_v10_1770929452_e5b1cd15,0.001623,10,model_v10_1770929452_e5b1cd15,0.001623,50ff4956291ce53e299cc777cf8b7ebe78f9a745b288866f1492d328decd08fd,4.499913,0,10,10,4.499913,6942,Qmdd1wgdJX2qh1qpyEx6Xsc53yFUbtwQW72hj3viNejSRK,,0.329959,,,9787934,0.329959,QmaiLcw9iPK4rumpAaUpTbNcQB7nE7yfNScUBLjFcJhQH4,0.028528,model_v10_1770929452_e5b1cd15,9779257,0.028528,34.619816,4.505555,18.815949,model_v10_1770929452_e5b1cd15,4.505555,9
1285760,5,13081616,12361568,2026-02-12T20:52:20Z,caltech101,true,100,10,10,98.000000,6.310000,0,872448,0.534472,5661530112.000000,5685067776,5637992448,10042690,9836843,2,0.001641,false,0.001641,0.015089,model_v1_1770928718_c37d777f,0.015089,0.001755,1,0.001755,0.001369,model_v11_1770929534_76d2be5a,0.001369,tx_validation_model_v11_1770929534_76d2be5a,0.001455,11,model_v11_1770929534_76d2be5a,0.001455,86356a12a5d82ca04d806d8ae49482c59851ab497ed1b3efafc5bbf9ce8d2fe5,4.459792,0,11,10,4.459792,6942,QmY6phDrB9D1cmeifYXNvc6sEBmz9Ai8sEZWDTSuBSaSKs,blockchain_write,0.442926,,,9788606,0.442926,QmNznT3JUNQ5dP6TJgYc1R6AQtRHED3WXzkQmui8VgML8K,0.025649,model_v11_1770929534_76d2be5a,9776331,0.025649,35.311060,4.640731,19.533239,model_v11_1770929534_76d2be5a,4.640731,10
2879640,5,13081616,13955448,2026-02-12T20:53:37Z,caltech101,true,100,10,10,98.000000,6.420000,0,839680,0.546226,5680087040.000000,5691228160,5668945920,9944977,9817648,2,0.001396,false,0.001396,0.007084,model_v1_1770928718_c37d777f,0.007084,0.002088,1,0.002088,0.001664,model_v12_1770929611_2a0be5db,0.001664,tx_validation_model_v12_1770929611_2a0be5db,0.001361,12,model_v12_1770929611_2a0be5db,0.001361,13e875de593627cef4443f3a7bd00a2359308a55aca19cc8c038a60f4edd64d7,4.303718,0,12,10,4.303718,6942,QmY6phDrB9D1cmeifYXNvc6sEBmz9Ai8sEZWDTSuBSaSKs,,0.323479,model_v1_1770928718_c37d777f,,9788606,0.323479,QmarG65KrJm4ejyG6Ky9NV22Cs9dyVLhGW3uZ68JassFtv,0.031581,model_v12_1770929611_2a0be5db,9775284,0.031581,36.232719,4.428493,20.512650,model_v12_1770929611_2a0be5db,4.428493,11
1862712,6,13081616,15740376,2026-02-12T20:54:53Z,caltech101,true,100,10,10,98.000000,6.580000,0,1044480,0.555745,5765122048.000000,5767589888,5762654208,9939267,9808505,2,0.001325,false,0.001325,0.012090,model_v1_1770928718_c37d777f,0.012090,0.006976,1,0.006976,0.001184,model_v13_1770929687_eb50fc3a,0.001184,tx_validation_model_v13_1770929687_eb50fc3a,0.001611,13,model_v13_1770929687_eb50fc3a,0.001611,933013b4b139a7ba8b3c4284912aa277fa6e480e52fa4c4bd6ffaba6a1394d96,4.378249,0,13,10,4.378249,6942,QmUp6j7ANqg6ywEKCPQWL89itaDt4J9eGxHUWmDAS9Tm9o,,0.456931,,,9788634,0.456931,QmSWz142eshRdAtpoBQ6w16uJeQPA5BhHkqUtSgR9yi6JQ,0.027498,model_v13_1770929687_eb50fc3a,9773051,0.027498,36.923963,4.385497,21.609972,model_v13_1770929687_eb50fc3a,4.385497,12
