blockchain_service_memory_alloc_bytes (bytes),blockchain_service_memory_num_gc,blockchain_service_memory_sys_bytes (bytes),blockchain_service_memory_total_alloc_bytes (bytes),blockchain_service_timestamp,scenario_dataset_name,scenario_ipfs_enabled,scenario_max_iterations (iterations),scenario_max_rollbacks (rollbacks),scenario_num_clients (clients),scenario_target_accuracy (%),system_cpu_total_time_seconds (seconds),system_disk_total_bytes_read (bytes),system_disk_total_bytes_written (bytes),system_duration_seconds (seconds),system_memory_avg_used_bytes (bytes),system_memory_max_used_bytes (bytes),system_memory_min_used_bytes (bytes),system_network_total_bytes_recv (bytes),system_network_total_bytes_sent (bytes),system_sample_count (operations),timing_blockchain_get_most_recent_rollback_duration (seconds),timing_blockchain_get_most_recent_rollback_found,timing_blockchain_get_most_recent_rollback_total_duration (seconds),timing_blockchain_get_provenance_duration (seconds),timing_blockchain_get_provenance_model_version_id,timing_blockchain_get_provenance_total_duration (seconds),timing_blockchain_list_models_duration (seconds),timing_blockchain_list_models_total,timing_blockchain_list_models_total_duration (seconds),timing_blockchain_record_validation_duration (seconds),timing_blockchain_record_validation_model_version_id,timing_blockchain_record_validation_total_duration (seconds),timing_blockchain_record_validation_transaction_id,timing_blockchain_register_duration (seconds),timing_blockchain_register_iteration,timing_blockchain_register_model_version_id,timing_blockchain_register_total_duration (seconds),timing_blockchain_register_transaction_id,timing_blockchain_rollback_duration (seconds),timing_blockchain_rollback_target_version_id,timing_blockchain_rollback_total_duration (seconds),timing_blockchain_rollback_transaction_id,timing_fedavg_aggregation_duration (seconds),timing_fedavg_aggregation_excluded_clients,timing_fedavg_aggregation_iteration,timing_fedavg_aggregation_num_clients (clients),timing_fedavg_aggregation_total_duration (seconds),timing_fedavg_aggregation_total_samples,timing_ipfs_download_cid,timing_ipfs_download_context,timing_ipfs_download_duration (seconds),timing_ipfs_download_model_version_id,timing_ipfs_download_parent_version_id,timing_ipfs_download_size_bytes (bytes),timing_ipfs_download_total_duration (seconds),timing_ipfs_upload_cid,timing_ipfs_upload_duration (seconds),timing_ipfs_upload_model_version_id,timing_ipfs_upload_size_bytes (bytes),timing_ipfs_upload_total_duration (seconds),timing_model_validation_accuracy (%),timing_model_validation_duration (seconds),timing_model_validation_loss (value),timing_model_validation_model_version_id,timing_model_validation_total_duration (seconds),timing_sample_index
794200,0,7969808,794200,2026-02-13T15:38:19Z,caltech101,true,100,10,10,98.000000,7.410000,0,913408,0.629679,5412440064.000000,5425676288,5399203840,10153070,10199323,2,0.002212,false,0.002212,0.002163,model_v0_initial_1770997015_f00c4e31,0.002163,0.051745,1,0.051745,0.001771,model_v1_1770997092_69920a72,0.001771,tx_validation_model_v1_1770997092_69920a72,0.001659,1,model_v1_1770997092_69920a72,0.001659,df455395697bdb81fdb9464055edf10f4c417bb27bb9138746276d2716121ded,0.001982,model_v0_initial_1770997015_f00c4e31,0.001982,e89c3fa78319d94bcb6cd1dd867a4ea59f8bc1d99b72352313b686aec944e115,4.777156,0,1,11,4.777156,16940,QmXtt359SWd6iprqDiribfTa8uCreTA62GyYPXjEQ7btkG,,0.032091,,,2187715,0.032091,QmbceqkhpwnHX6cPSLziwkkVgLyB1iUz64yq6PkcBoHqmc,0.029273,model_v1_1770997092_69920a72,9951214,0.029273,9.562212,5.429798,4.362331,model_v1_1770997092_69920a72,5.429798,0
1039344,0,8231952,1039344,2026-02-13T15:39:46Z,caltech101,true,100,10,10,98.000000,7.840000,0,958464,0.670671,5547825152.000000,5555572736,5540077568,9229450,9106807,2,0.002103,true,0.002103,0.002301,model_v0_initial_1770997015_f00c4e31,0.002301,0.007151,1,0.007151,0.001782,model_v2_1770997179_fe137106,0.001782,tx_validation_model_v2_1770997179_fe137106,0.004379,2,model_v2_1770997179_fe137106,0.004379,0a02b06a4c7f757534fa2498f73cadbe1bbc980534d418412d599f489dc8e36a,,,0.000000,,5.715581,0,2,11,5.715581,16940,QmekBWA2yp53ZeZJVrNon89LrMzJ9jdFBrsKkxrXscm5Jp,,0.357701,,,9787036,0.357701,QmRKt9vomGqjr4NkBmhXeXrDwo2dBjcsLjiVWuuRzEMMML,0.026704,model_v2_1770997179_fe137106,9069144,0.026704,1.036866,4.854908,8678.842083,model_v2_1770997179_fe137106,4.854908,1
1375656,0,8494096,1375656,2026-02-13T15:42:02Z,caltech101,true,100,10,10,98.000000,6.590000,0,1064960,0.558451,5855188992.000000,5875646464,5834731520,10014608,9824515,2,0.001454,true,0.001454,0.002033,model_v1_1770997092_69920a72,0.002033,0.007563,1,0.007563,0.001178,model_v3_1770997316_9c723768,0.001178,tx_validation_model_v3_1770997316_9c723768,0.002825,3,model_v3_1770997316_9c723768,0.002825,d1134013a447e54a3add505a9770bbe8a943f5e5c4c0ecac4531361ee2b70d1f,,,0.000000,,4.368903,0,3,10,4.368903,6940,QmekBWA2yp53ZeZJVrNon89LrMzJ9jdFBrsKkxrXscm5Jp,,0.336241,,,9787036,0.336241,QmV8YVy3TMSontUPnG1PZn3weWaDsNDZi5uwAqfuhBe5pg,0.024411,model_v3_1770997316_9c723768,9786418,0.024411,13.652074,4.289621,7.105454,model_v3_1770997316_9c723768,4.289621,2
2116520,0,8494096,2116520,2026-02-13T15:43:24Z,caltech101,true,100,10,10,98.000000,6.730000,98304,1052672,0.572133,5797826560.000000,5812559872,5783093248,10024277,9843456,2,0.001422,true,0.001422,0.015173,model_v1_1770997092_69920a72,0.015173,0.015453,1,0.015453,0.001418,model_v4_1770997398_adc42d9c,0.001418,tx_validation_model_v4_1770997398_adc42d9c,0.001531,4,model_v4_1770997398_adc42d9c,0.001531,dab80607fa01f3c04723bacb8505e3b7a57570981d10cc1806428d151eb90890,,,0.000000,,4.623453,0,4,10,4.623453,6940,QmekBWA2yp53ZeZJVrNon89LrMzJ9jdFBrsKkxrXscm5Jp,,0.325873,,,9787036,0.325873,QmVtr3vFS849s8ZpBqPEx2K1tVQA5Y2D4jcvyRR4STza6D,0.022074,model_v4_1770997398_adc42d9c,9787496,0.022074,18.375576,4.455180,20.375224,model_v4_1770997398_adc42d9c,4.455180,3
2393576,0,8494096,2393576,2026-02-13T15:44:42Z,caltech101,true,100,10,10,98.000000,6.490000,0,1159168,0.549901,5948471296.000000,5950619648,5946322944,9985682,9829988,2,0.001527,true,0.001527,0.014461,model_v1_1770997092_69920a72,0.014461,0.005502,1,0.005502,0.001456,model_v5_1770997476_bc572b9c,0.001456,tx_validation_model_v5_1770997476_bc572b9c,0.002611,5,model_v5_1770997476_bc572b9c,0.002611,eaa69c56f3971b06441ca0de3df80979a05df29779b6bc50c35467c9c7536fa7,,,0.000000,,4.615739,0,5,10,4.615739,6940,QmSvwMT1CMqzhpehnHyTKxq6vad2SWHZ9c6EEcWhHDTzNU,,0.334705,,,9788468,0.334705,QmabUr7DoycFdXswZeiVMqwtBLbB5j6vA2RFgKNKD3VahT,0.027202,model_v5_1770997476_bc572b9c,9788463,0.027202,21.140553,4.592082,27.664278,model_v5_1770997476_bc572b9c,4.592082,4
2656440,0,8494096,2656440,2026-02-13T15:46:05Z,caltech101,true,100,10,10,98.000000,6.480000,0,1138688,0.548997,5989595136.000000,6016638976,5962551296,9994882,9831166,2,0.001831,true,0.001831,0.000728,model_v1_1770997092_69920a72,0.000728,0.005863,1,0.005863,0.001505,model_v6_1770997559_aaa7c7aa,0.001505,tx_validation_model_v6_1770997559_aaa7c7aa,0.003205,6,model_v6_1770997559_aaa7c7aa,0.003205,c0214a8cd171580f02448ffc3eff00a37cf2479bf3366d4617871e6c485bdd50,,,0.000000,,4.614375,0,6,10,4.614375,6940,QmSvwMT1CMqzhpehnHyTKxq6vad2SWHZ9c6EEcWhHDTzNU,,0.324842,,,9788468,0.324842,QmWqcTurBNkYZGeMJmPZ6MP3kxjZouemjSMY2kBeYAog2s,0.019336,model_v6_1770997559_aaa7c7aa,9788255,0.019336,23.387097,4.505505,27.447869,model_v6_1770997559_aaa7c7aa,4.505505,5
3046720,0,12688400,3046720,2026-02-13T15:47:28Z,caltech101,true,100,10,10,98.000000,8.660000,0,1064960,0.738689,6011781120.000000,6016176128,6007386112,10038382,9847233,2,0.001568,true,0.001568,0.000628,model_v0_initial_1770997015_f00c4e31,0.000628,0.005895,1,0.005895,0.001814,model_v7_1770997641_0f455081,0.001814,tx_validation_model_v7_1770997641_0f455081,0.003649,7,model_v7_1770997641_0f455081,0.003649,55a9a4ca80fcde41b64c140f46b68c05e88a52770f60a93cabbfd37ccc5ed981,,,0.000000,,4.777915,0,7,10,4.777915,6940,QmUcLwR4GAmfQ1kpgxWRKiKdwpLmLQbWSTjooWyiTm6ZFb,,0.342429,,,9790169,0.342429,QmYdUB3mrj9Nb9UcxtDCi7unfiEkAXVt9jAzkv9QgqH9B6,0.031146,model_v7_1770997641_0f455081,9787616,0.031146,26.843318,5.453043,24.868351,model_v7_1770997641_0f455081,5.453043,6
3351504,0,12688400,3351504,2026-02-13T15:48:49Z,caltech101,true,100,10,10,98.000000,6.570000,0,1122304,0.558389,5929746432.000000,5932077056,5927415808,9984741,9839159,2,0.001641,true,0.001641,0.000612,model_v1_1770997092_69920a72,0.000612,0.003843,1,0.003843,0.001911,model_v8_1770997722_e2be143d,0.001911,tx_validation_model_v8_1770997722_e2be143d,0.003310,8,model_v8_1770997722_e2be143d,0.003310,ec496e476fac6278f13872eb3d7555316e90231584ca4bcdeebd6dc5cfcc098f,,,0.000000,,4.818212,0,8,10,4.818212,6940,QmPpr4nZ3YbwxKN7san4vDxYywVmpTL3CJgoHwe9Kx8zvC,,0.325968,,,9791754,0.325968,QmZwTs5KvzyrLqjD8WBpBfTzRmG8ZeERZ6qXcnwtdK4fYd,0.029774,model_v8_1770997722_e2be143d,9786352,0.029774,28.513825,4.997796,22.705604,model_v8_1770997722_e2be143d,4.997796,7
489560,1,13016080,3628816,2026-02-13T15:50:16Z,caltech101,true,100,10,10,98.000000,6.980000,0,987136,0.592463,5982265344.000000,5991051264,5973479424,10049537,9829306,2,0.002151,true,0.002151,0.001487,model_v0_initial_1770997015_f00c4e31,0.001487,0.001817,1,0.001817,0.001360,model_v9_1770997809_b8606de8,0.001360,tx_validation_model_v9_1770997809_b8606de8,0.002576,9,model_v9_1770997809_b8606de8,0.002576,bf09279c36249da7c2580704964216db10bcc4d6634d837ecb44a5d0bd2626f0,,,0.000000,,4.632527,0,9,10,4.632527,6940,QmSvNwgHHhDpsGVX8vJn2qT77tkh8riEWYcXwEgz3SGDEE,,0.327563,,,9787780,0.327563,QmRMnDFJNuyf4gjjPQ3k9bq3UhPee1T9vDE4uGeeiwLe9j,0.046011,model_v9_1770997809_b8606de8,9784904,0.046011,30.933180,4.801616,21.462820,model_v9_1770997809_b8606de8,4.801616,8
1375024,1,13016080,4514280,2026-02-13T15:51:36Z,caltech101,true,100,10,10,98.000000,7.030000,0,1134592,0.598181,6004494336.000000,6007115776,6001872896,9955676,9816320,2,0.001501,true,0.001501,0.003294,model_v1_1770997092_69920a72,0.003294,0.006243,1,0.006243,0.001395,model_v10_1770997889_67005461,0.001395,tx_validation_model_v10_1770997889_67005461,0.002253,10,model_v10_1770997889_67005461,0.002253,c1d14a66d444d63d8210c1cc22d879372d6db538a37a13066ddf0a93c01544b2,,,0.000000,,4.567435,0,10,10,4.567435,6940,QmbQ6AbjL1zKDdpD4BcGSWnHfZMrYoMmyPFJmU1Gp88PDN,,0.336708,,,9786385,0.336708,QmYZhDkefZ2kRnTd9tXadvVnReJQFzkWV9VT8nmHshtEH2,0.021596,model_v10_1770997889_67005461,9784267,0.021596,32.373272,5.004328,21.394417,model_v10_1770997889_67005461,5.004328,9
