blockchain_service_memory_alloc_bytes (bytes),blockchain_service_memory_num_gc,blockchain_service_memory_sys_bytes (bytes),blockchain_service_memory_total_alloc_bytes (bytes),blockchain_service_timestamp,scenario_dataset_name,scenario_ipfs_enabled,scenario_max_iterations (iterations),scenario_max_rollbacks (rollbacks),scenario_num_clients (clients),scenario_target_accuracy (%),system_cpu_total_time_seconds (seconds),system_disk_total_bytes_read (bytes),system_disk_total_bytes_written (bytes),system_duration_seconds (seconds),system_memory_avg_used_bytes (bytes),system_memory_max_used_bytes (bytes),system_memory_min_used_bytes (bytes),system_network_total_bytes_recv (bytes),system_network_total_bytes_sent (bytes),system_sample_count (operations),timing_blockchain_get_most_recent_rollback_duration (seconds),timing_blockchain_get_most_recent_rollback_found,timing_blockchain_get_most_recent_rollback_total_duration (seconds),timing_blockchain_get_provenance_duration (seconds),timing_blockchain_get_provenance_model_version_id,timing_blockchain_get_provenance_total_duration (seconds),timing_blockchain_list_models_duration (seconds),timing_blockchain_list_models_total,timing_blockchain_list_models_total_duration (seconds),timing_blockchain_record_validation_duration (seconds),timing_blockchain_record_validation_model_version_id,timing_blockchain_record_validation_total_duration (seconds),timing_blockchain_record_validation_transaction_id,timing_blockchain_register_duration (seconds),timing_blockchain_register_iteration,timing_blockchain_register_model_version_id,timing_blockchain_register_total_duration (seconds),timing_blockchain_register_transaction_id,timing_fedavg_aggregation_duration (seconds),timing_fedavg_aggregation_excluded_clients,timing_fedavg_aggregation_iteration,timing_fedavg_aggregation_num_clients (clients),timing_fedavg_aggregation_total_duration (seconds),timing_fedavg_aggregation_total_samples,timing_ipfs_download_cid,timing_ipfs_download_context,timing_ipfs_download_duration (seconds),timing_ipfs_download_model_version_id,timing_ipfs_download_parent_version_id,timing_ipfs_download_size_bytes (bytes),timing_ipfs_download_total_duration (seconds),timing_ipfs_upload_cid,timing_ipfs_upload_duration (seconds),timing_ipfs_upload_model_version_id,timing_ipfs_upload_size_bytes (bytes),timing_ipfs_upload_total_duration (seconds),timing_model_validation_accuracy (%),timing_model_validation_duration (seconds),timing_model_validation_loss (value),timing_model_validation_model_version_id,timing_model_validation_total_duration (seconds),timing_sample_index
703712,0,7969808,703712,2026-02-12T20:01:42Z,cifar10,true,100,10,10,98.000000,6.690000,0,1003520,0.570547,7773519872.000000,7800811520,7746228224,9658943,9574041,2,0.001389,false,0.001389,0.001299,model_v0_initial_1770926455_c3d6582b,0.001299,0.018099,1,0.018099,0.001278,model_v1_1770926499_a0ccf39e,0.001278,tx_validation_model_v1_1770926499_a0ccf39e,0.001350,1,model_v1_1770926499_a0ccf39e,0.001350,61dd10bbee2ecdeed9c7182da5325fbcf059d3265f10b17b89ffc5dd0cdfc8d6,4.439254,0,1,10,4.439254,50000,QmTvSKaingTkazRbdKSrBDAogwdqqHQyQQfJ1fifsCGde6,,0.316072,,,9529521,0.316072,QmevdqLyri7tJmsL3U2p96AKhJt5r8ojiDJsF7zHMzsu4F,0.046111,model_v1_1770926499_a0ccf39e,9539677,0.046111,30.960000,1.651342,2.035425,model_v1_1770926499_a0ccf39e,1.651342,0
1119424,0,8231952,1119424,2026-02-12T20:02:22Z,cifar10,true,100,10,10,98.000000,7.100000,0,1077248,0.608632,7987623936.000000,7994892288,7980355584,9729793,9580112,2,0.001476,false,0.001476,0.001472,model_v0_initial_1770926455_c3d6582b,0.001472,0.003655,1,0.003655,0.001461,model_v2_1770926539_2b94c304,0.001461,tx_validation_model_v2_1770926539_2b94c304,0.001506,2,model_v2_1770926539_2b94c304,0.001506,8401e32846732782a787903e78c969f8bc0376c528013102321594e18f7cbdd3,4.195329,0,2,10,4.195329,50000,Qme1mH3YWYq8GqHpxAa4XvGhwK38PExj76H8iRKfyCKE5F,,0.323292,,,9528778,0.323292,QmeXiwpxB8VnCaeJNoiz4zkqwds71zvsjKdDexggkyRZAw,0.026315,model_v2_1770926539_2b94c304,9521038,0.026315,42.550000,1.556248,4.071810,model_v2_1770926539_2b94c304,1.556248,1
1572992,0,12426256,1572992,2026-02-12T20:03:08Z,cifar10,true,100,10,10,98.000000,5.860000,0,962560,0.496284,8022493184.000000,8029548544,8015437824,9702966,9549229,2,0.001308,false,0.001308,0.001441,model_v1_1770926499_a0ccf39e,0.001441,0.006027,1,0.006027,0.001357,model_v3_1770926585_ccb04443,0.001357,tx_validation_model_v3_1770926585_ccb04443,0.001123,3,model_v3_1770926585_ccb04443,0.001123,dd286dbafac52ccedc408da60cf4c93b9cd308db1489500d11b79cc4c4752d24,4.101227,0,3,10,4.101227,50000,QmU8vZp67PQ7KTCb2bRy45iT5huZ8HZqxvrCVaL9wuHfm4,,0.307726,,,9527938,0.307726,QmRWCjtRjGeQwn6fTNKzi4BnWJQGAaYQPwMgLMuSD5cVc9,0.019183,model_v3_1770926585_ccb04443,9508045,0.019183,47.700000,1.765248,6.888144,model_v3_1770926585_ccb04443,1.765248,2
2102248,0,12426256,2102248,2026-02-12T20:03:52Z,cifar10,true,100,10,10,98.000000,5.910000,0,925696,0.498706,8035594240.000000,8037588992,8033599488,9720921,9544418,2,0.001260,false,0.001260,0.008996,model_v1_1770926499_a0ccf39e,0.008996,0.022647,1,0.022647,0.001267,model_v4_1770926630_a9d0d9af,0.001267,tx_validation_model_v4_1770926630_a9d0d9af,0.001055,4,model_v4_1770926630_a9d0d9af,0.001055,d5f042b45001886209b2f155066fe624d3c45d3ac6fec281c203a6e538b1e035,4.071138,0,4,10,4.071138,50000,QmPn26GaG7VaP4xhWr84J6rWicwADFTKhx3C2pNaotp2KV,,0.327883,,,9530292,0.327883,QmRnNcFQPvyqFEqyp2xihipR2V9eGd8MHpN8NjASY6fEVC,0.028502,model_v4_1770926630_a9d0d9af,9497261,0.028502,51.310000,1.528555,7.345720,model_v4_1770926630_a9d0d9af,1.528555,3
2571584,0,12426256,2571584,2026-02-12T20:04:31Z,cifar10,true,100,10,10,98.000000,6.090000,0,1146880,0.515269,8094937088.000000,8097902592,8091971584,9705678,9545828,2,0.001427,false,0.001427,0.008557,model_v1_1770926499_a0ccf39e,0.008557,0.002060,1,0.002060,0.001274,model_v5_1770926669_2ab82f78,0.001274,tx_validation_model_v5_1770926669_2ab82f78,0.001058,5,model_v5_1770926669_2ab82f78,0.001058,22cb46d40257da0d8b1d5ffda53238c5a1c666449468be589824919909c2b1ed,4.153901,0,5,10,4.153901,50000,QmZ6cbQzLqoKLTVR8bmAak9wVcU5DpgL4akPu7pP7S38Rs,,0.296602,,,9534352,0.296602,QmXnGjSi2KjY1B9zbsgwdJDx6B6EW9Y2dTkD5e1F5yMMcr,0.023878,model_v5_1770926669_2ab82f78,9486842,0.023878,53.710000,1.511653,7.433344,model_v5_1770926669_2ab82f78,1.511653,4
3141952,0,12426256,3141952,2026-02-12T20:05:11Z,cifar10,true,100,10,10,98.000000,5.980000,131072,1163264,0.504554,8092407808.000000,8093945856,8090869760,9682615,9535661,2,0.001361,false,0.001361,0.017991,model_v1_1770926499_a0ccf39e,0.017991,0.002996,1,0.002996,0.001349,model_v6_1770926708_7c99a3a0,0.001349,tx_validation_model_v6_1770926708_7c99a3a0,0.001277,6,model_v6_1770926708_7c99a3a0,0.001277,c3cad9683c4ab374742551baccf69b5bf086a227a292aae9e48411f2c128c8d8,4.116936,0,6,10,4.116936,50000,QmTvSKaingTkazRbdKSrBDAogwdqqHQyQQfJ1fifsCGde6,,0.290249,,,9529521,0.290249,QmbGEShaiVcdzTE4SFrJX7YTfk5fmoDEVbw9uh5aQDcX5w,0.027325,model_v6_1770926708_7c99a3a0,9478599,0.027325,55.640000,1.564593,7.511472,model_v6_1770926708_7c99a3a0,1.564593,5
755688,1,13016080,3917560,2026-02-12T20:05:55Z,cifar10,true,100,10,10,98.000000,5.970000,0,970752,0.505996,8048619520.000000,8055603200,8041635840,9667714,9527438,2,0.001520,false,0.001520,0.003601,model_v1_1770926499_a0ccf39e,0.003601,0.001798,1,0.001798,0.001229,model_v7_1770926752_2b0bdb9b,0.001229,tx_validation_model_v7_1770926752_2b0bdb9b,0.001395,7,model_v7_1770926752_2b0bdb9b,0.001395,ba3d5f946952051175c5d6878376dc11fbbf08dbe42993b7cbcf294a7761a39a,4.054230,0,7,10,4.054230,50000,QmYFucug94ndHzgN3rkYgZ6Gb7KKDzgxVekx7tgmezxdd5,,0.310368,,,9527778,0.310368,QmZqqHVe2GaLww4N3tVBVDbhvtH16T3fJumT8iWGQ7UNc5,0.029116,model_v7_1770926752_2b0bdb9b,9470354,0.029116,57.670000,1.573442,7.537066,model_v7_1770926752_2b0bdb9b,1.573442,6
1449128,1,13016080,4611000,2026-02-12T20:06:35Z,cifar10,true,100,10,10,98.000000,6.460000,0,1077248,0.546352,8065409024.000000,8066793472,8064024576,9629196,9497939,2,0.001708,false,0.001708,0.011846,model_v1_1770926499_a0ccf39e,0.011846,0.005575,1,0.005575,0.001746,model_v8_1770926792_c56b21fc,0.001746,tx_validation_model_v8_1770926792_c56b21fc,0.001735,8,model_v8_1770926792_c56b21fc,0.001735,3542404da386d433f0487c974aa9c3362848d6d25d872c9b0164338a2db4dbba,4.194919,0,8,10,4.194919,50000,QmYFucug94ndHzgN3rkYgZ6Gb7KKDzgxVekx7tgmezxdd5,,0.332778,,,9527778,0.332778,QmS61axcEbfjVPkVbc4q5sjUmBFTBfj8JZWktnBVWtLHuD,0.032170,model_v8_1770926792_c56b21fc,9463691,0.032170,59.440000,1.715264,7.475878,model_v8_1770926792_c56b21fc,1.715264,7
2216736,1,13016080,5378608,2026-02-12T20:07:16Z,cifar10,true,100,10,10,98.000000,6.470000,0,1077248,0.546120,8119420928.000000,8125542400,8113299456,9692750,9516548,2,0.001261,false,0.001261,0.013494,model_v1_1770926499_a0ccf39e,0.013494,0.038043,1,0.038043,0.001518,model_v9_1770926833_aca517b5,0.001518,tx_validation_model_v9_1770926833_aca517b5,0.001601,9,model_v9_1770926833_aca517b5,0.001601,123b6acccd7385546b8778ee1b38aada5f5654f5d59231807c8c12a2b16e8b93,4.430820,0,9,10,4.430820,50000,QmS1j4JaTn42pQKtx3pkDBRV361iCiXJJ5pokk2QuZvBAA,,0.309175,,,9527557,0.309175,QmeXHYanK2X4YKsqRstUEZaQgVMa35BFDhrvoSXoL5RWBa,0.028622,model_v9_1770926833_aca517b5,9456855,0.028622,60.860000,1.660959,7.459505,model_v9_1770926833_aca517b5,1.660959,8
889624,2,13409296,6281328,2026-02-12T20:07:57Z,cifar10,true,100,10,10,98.000000,6.000000,0,987136,0.505980,8141185024.000000,8146071552,8136298496,9640968,9498067,2,0.001245,false,0.001245,0.011163,model_v1_1770926499_a0ccf39e,0.011163,0.002143,1,0.002143,0.001519,model_v10_1770926874_3c1e4763,0.001519,tx_validation_model_v10_1770926874_3c1e4763,0.001154,10,model_v10_1770926874_3c1e4763,0.001154,99bf5fb8379797c81969eaaca03dcc83093700765cf42b2a8d7fb4ce357bba74,4.303130,0,10,10,4.303130,50000,QmeFfyAL2nx1uqLthHR33qhoCdu9smMGjZzLUhDtxfJBo5,,0.326910,,,9529491,0.326910,QmRZVrXqnfRaocktrmXvgSHecVKTvyvN7dwYk8r5rdEYWw,0.026304,model_v10_1770926874_3c1e4763,9450639,0.026304,61.940000,1.675056,7.429229,model_v10_1770926874_3c1e4763,1.675056,9
