blockchain_service_memory_alloc_bytes (bytes),blockchain_service_memory_num_gc,blockchain_service_memory_sys_bytes (bytes),blockchain_service_memory_total_alloc_bytes (bytes),blockchain_service_timestamp,scenario_dataset_name,scenario_ipfs_enabled,scenario_max_iterations (iterations),scenario_max_rollbacks (rollbacks),scenario_num_clients (clients),scenario_target_accuracy (%),system_cpu_total_time_seconds (seconds),system_disk_total_bytes_read (bytes),system_disk_total_bytes_written (bytes),system_duration_seconds (seconds),system_memory_avg_used_bytes (bytes),system_memory_max_used_bytes (bytes),system_memory_min_used_bytes (bytes),system_network_total_bytes_recv (bytes),system_network_total_bytes_sent (bytes),system_sample_count (operations),timing_blockchain_get_most_recent_rollback_duration (seconds),timing_blockchain_get_most_recent_rollback_found,timing_blockchain_get_most_recent_rollback_total_duration (seconds),timing_blockchain_get_provenance_duration (seconds),timing_blockchain_get_provenance_model_version_id,timing_blockchain_get_provenance_total_duration (seconds),timing_blockchain_list_models_duration (seconds),timing_blockchain_list_models_total,timing_blockchain_list_models_total_duration (seconds),timing_blockchain_record_validation_duration (seconds),timing_blockchain_record_validation_model_version_id,timing_blockchain_record_validation_total_duration (seconds),timing_blockchain_record_validation_transaction_id,timing_blockchain_register_duration (seconds),timing_blockchain_register_iteration,timing_blockchain_register_model_version_id,timing_blockchain_register_total_duration (seconds),timing_blockchain_register_transaction_id,timing_blockchain_rollback_duration (seconds),timing_blockchain_rollback_target_version_id,timing_blockchain_rollback_total_duration (seconds),timing_blockchain_rollback_transaction_id,timing_fedavg_aggregation_duration (seconds),timing_fedavg_aggregation_excluded_clients,timing_fedavg_aggregation_iteration,timing_fedavg_aggregation_num_clients (clients),timing_fedavg_aggregation_total_duration (seconds),timing_fedavg_aggregation_total_samples,timing_ipfs_download_cid,timing_ipfs_download_context,timing_ipfs_download_duration (seconds),timing_ipfs_download_model_version_id,timing_ipfs_download_parent_version_id,timing_ipfs_download_size_bytes (bytes),timing_ipfs_download_total_duration (seconds),timing_ipfs_upload_cid,timing_ipfs_upload_duration (seconds),timing_ipfs_upload_model_version_id,timing_ipfs_upload_size_bytes (bytes),timing_ipfs_upload_total_duration (seconds),timing_model_validation_accuracy (%),timing_model_validation_duration (seconds),timing_model_validation_loss (value),timing_model_validation_model_version_id,timing_model_validation_total_duration (seconds),timing_sample_index
922136,0,7969808,922136,2026-02-12T19:30:37Z,cifar10,true,100,10,10,98.000000,5.990000,0,962560,0.506037,7735232512.000000,7741022208,7729442816,9713834,9612838,2,0.001496,false,0.001496,0.001126,model_v0_initial_1770924591_25fa7188,0.001126,0.020962,1,0.020962,0.001563,model_v1_1770924634_4fc1f678,0.001563,tx_validation_model_v1_1770924634_4fc1f678,0.000992,1,model_v1_1770924634_4fc1f678,0.000992,54fdd32e3e2294e0387cd43da21312486815de0a2254b6cc1b2f8dc37000cb17,0.001468,model_v0_initial_1770924591_25fa7188,0.001468,d1e524268dd476edf8a1494b93492157eac40f4b05d66ab39d4be1f74849b245,4.350254,0,1,11,4.350254,60000,QmbmFnXJPzkAMQojPfqddYP7qrrJyaXGhZ9vdtvJmCKrUF,,0.038805,,,2128838,0.038805,QmZwviG9DN2iMwCzWEXRSuCrFoUYBdyQEEyswxkRbuh2cS,0.025035,model_v1_1770924634_4fc1f678,9566825,0.025035,32.740000,1.660976,1.918458,model_v1_1770924634_4fc1f678,1.660976,0
1325912,0,7969808,1325912,2026-02-12T19:31:19Z,cifar10,true,100,10,10,98.000000,5.810000,0,1097728,0.495162,7883302912.000000,7885434880,7881170944,9311386,9534055,2,0.001416,true,0.001416,0.001530,model_v0_initial_1770924591_25fa7188,0.001530,0.003677,1,0.003677,0.001716,model_v2_1770924676_5fc6d3ed,0.001716,tx_validation_model_v2_1770924676_5fc6d3ed,0.001416,2,model_v2_1770924676_5fc6d3ed,0.001416,81d43ea9e0f31090d6c80540243a8c84cf73be9c22af684a3120c5a886a52cf5,,,0.000000,,4.642782,0,2,11,4.642782,60000,QmPa1zNU9aVvJ2ZwnB28wPf4KXoarToEFKsT7dWvK7VVnh,,0.312722,,,9532794,0.312722,Qma3k1zxB1df8CBrLWwLsqgF9qTcouxhBq5w3ejRMH6RpE,0.019089,model_v2_1770924676_5fc6d3ed,9069552,0.019089,12.690000,1.843206,22.044101,model_v2_1770924676_5fc6d3ed,1.843206,1
2010248,0,7969808,2010248,2026-02-12T19:32:28Z,cifar10,true,100,10,10,98.000000,6.020000,0,929792,0.507675,8161280000.000000,8169132032,8153427968,9788151,9591088,2,0.001893,true,0.001893,0.001518,model_v1_1770924634_4fc1f678,0.001518,0.003937,1,0.003937,0.001264,model_v3_1770924746_3a82fcd2,0.001264,tx_validation_model_v3_1770924746_3a82fcd2,0.002588,3,model_v3_1770924746_3a82fcd2,0.002588,f8f57d81b66002f30fa0c1265a669bd15d2ac853a39a9b21aa2837f2efec954a,,,0.000000,,4.178783,0,3,10,4.178783,50000,QmQpCtXByXsibCixmUk9UYGX9G29BrzBYaJ5YpinsGHhti,,0.300837,,,9527973,0.300837,QmSUnP3oAwmcRmqe99AxrXzi8LQL5SpdDMtyGJ58fc1xKC,0.027169,model_v3_1770924746_3a82fcd2,9541927,0.027169,34.240000,1.631514,2.248379,model_v3_1770924746_3a82fcd2,1.631514,2
2535296,0,12164112,2535296,2026-02-12T19:33:15Z,cifar10,true,100,10,10,98.000000,7.160000,0,1028096,0.609300,8187338752.000000,8196411392,8178266112,9655531,9562146,2,0.001355,true,0.001355,0.024975,model_v1_1770924634_4fc1f678,0.024975,0.010896,1,0.010896,0.001384,model_v4_1770924792_8c656d85,0.001384,tx_validation_model_v4_1770924792_8c656d85,0.001181,4,model_v4_1770924792_8c656d85,0.001181,ee5e804c540f941df7a37618df7a18d9c018218c0d16430dfadf908d38a8d4e6,,,0.000000,,4.278342,0,4,10,4.278342,50000,QmQpCtXByXsibCixmUk9UYGX9G29BrzBYaJ5YpinsGHhti,,0.303422,,,9527973,0.303422,QmQdY9zXX8UJVbE4jAvPi22qkQ6shjT7XGFvLJiY2Lvqu6,0.020856,model_v4_1770924792_8c656d85,9520792,0.020856,42.370000,1.677106,4.635647,model_v4_1770924792_8c656d85,1.677106,3
3073392,0,12426256,3073392,2026-02-12T19:33:56Z,cifar10,true,100,10,10,98.000000,6.010000,0,1073152,0.512700,8212090880.000000,8214204416,8209977344,9707855,9558902,2,0.001335,true,0.001335,0.018442,model_v1_1770924634_4fc1f678,0.018442,0.011195,1,0.011195,0.001170,model_v5_1770924833_857675d6,0.001170,tx_validation_model_v5_1770924833_857675d6,0.002548,5,model_v5_1770924833_857675d6,0.002548,73c027c726e509cb99bbaf310d785f6d666c3da4eaa28b86e6912bc5772dc557,,,0.000000,,4.218259,0,5,10,4.218259,50000,QmcAaWyohkyGD5QWd5XmyZWh4x17Mmt1o9Ajs9YjLByQna,,0.297718,,,9524489,0.297718,QmUhp2zak8abaqoM2wk4SMkuu5ame7uJbdVGA2wmwcQG4d,0.029433,model_v5_1770924833_857675d6,9509511,0.029433,48.040000,1.546418,6.837377,model_v5_1770924833_857675d6,1.546418,4
732736,1,12753936,3712336,2026-02-12T19:34:35Z,cifar10,true,100,10,10,98.000000,6.090000,0,1052672,0.517723,8210591744.000000,8218984448,8202199040,9710567,9560614,2,0.001148,true,0.001148,0.019246,model_v1_1770924634_4fc1f678,0.019246,0.008996,1,0.008996,0.001280,model_v6_1770924872_8a32be34,0.001280,tx_validation_model_v6_1770924872_8a32be34,0.002304,6,model_v6_1770924872_8a32be34,0.002304,0b386b37baf98c2bf9c8399dcd029e6b5ff387e3017841a3b52b8f83d0061a03,,,0.000000,,4.328719,0,6,10,4.328719,50000,QmPa1zNU9aVvJ2ZwnB28wPf4KXoarToEFKsT7dWvK7VVnh,,0.291878,,,9532794,0.291878,QmTCYMfV7mJj8d8DZapqPWgpsP6RypkA49Tgys5Kw9XSkn,0.033895,model_v6_1770924872_8a32be34,9500609,0.033895,50.690000,1.557256,7.368640,model_v6_1770924872_8a32be34,1.557256,5
1446144,1,13016080,4425744,2026-02-12T19:35:15Z,cifar10,true,100,10,10,98.000000,6.120000,0,892928,0.517097,8233342976.000000,8236359680,8230326272,9755802,9564745,2,0.001315,true,0.001315,0.003258,model_v1_1770924634_4fc1f678,0.003258,0.013297,1,0.013297,0.001583,model_v7_1770924912_bc36b5d7,0.001583,tx_validation_model_v7_1770924912_bc36b5d7,0.001264,7,model_v7_1770924912_bc36b5d7,0.001264,e44770b4062fc7c81d814d9a6a0611bf05460dc9c23359d6929d4bb15dd055b0,,,0.000000,,4.438298,0,7,10,4.438298,50000,QmfBaWS7fQX3WZ95m9oX6NbkHt4CKkvoDREYVdBX6AQrrN,,0.297380,,,9526543,0.297380,QmawCTLgvNv1aMPNeHkhEFQ5qKGGL47h1GWdbnkCG4AMdY,0.035342,model_v7_1770924912_bc36b5d7,9491234,0.035342,53.070000,1.568186,7.463365,model_v7_1770924912_bc36b5d7,1.568186,6
2160312,1,13016080,5139912,2026-02-12T19:35:55Z,cifar10,true,100,10,10,98.000000,5.930000,0,1097728,0.501510,8332881920.000000,8378195968,8287567872,9702053,9535402,2,0.001478,true,0.001478,0.014771,model_v1_1770924634_4fc1f678,0.014771,0.003677,1,0.003677,0.001277,model_v8_1770924953_9242e589,0.001277,tx_validation_model_v8_1770924953_9242e589,0.001132,8,model_v8_1770924953_9242e589,0.001132,dc59bb142297c203ee24ac88091b176ab2b52970d1333f64cad677040b45120d,,,0.000000,,4.276243,0,8,10,4.276243,50000,QmYYYsCoHvyg24WHJ1yePehvDywnWsY9iL8yV5ARQTJNZr,,0.300570,,,9529203,0.300570,QmXS2bWmc2TXH9RfXTmBzScxcaktinVzqwsbvXYV5stmoW,0.029847,model_v8_1770924953_9242e589,9483327,0.029847,55.010000,1.622810,7.459113,model_v8_1770924953_9242e589,1.622810,7
859664,2,13081616,5951200,2026-02-12T19:36:36Z,cifar10,true,100,10,10,98.000000,7.810000,0,1216512,0.666754,8323276800.000000,8345694208,8300859392,9683259,9516755,2,0.001480,true,0.001480,0.007547,model_v1_1770924634_4fc1f678,0.007547,0.038207,1,0.038207,0.001561,model_v9_1770924993_2fec0801,0.001561,tx_validation_model_v9_1770924993_2fec0801,0.001361,9,model_v9_1770924993_2fec0801,0.001361,7689fa4fe40c2f1c92662fd11ef08378cbd800b94ef190c8fc8ca3ea663b4652,,,0.000000,,4.516151,0,9,10,4.516151,50000,QmcAaWyohkyGD5QWd5XmyZWh4x17Mmt1o9Ajs9YjLByQna,,0.290595,,,9524489,0.290595,QmRVn9nAwvGUVJCQ6vALeksg8rF5zUWUcNr86zFoqakqPC,0.032258,model_v9_1770924993_2fec0801,9476301,0.032258,56.560000,1.643273,7.541513,model_v9_1770924993_2fec0801,1.643273,8
1879056,2,13081616,6970592,2026-02-12T19:37:22Z,cifar10,true,100,10,10,98.000000,6.120000,0,19374080,0.526727,8301793280.000000,8315117568,8288468992,9626479,9512326,2,0.001403,true,0.001403,0.005695,model_v1_1770924634_4fc1f678,0.005695,0.001253,1,0.001253,0.001703,model_v10_1770925039_9fea6297,0.001703,tx_validation_model_v10_1770925039_9fea6297,0.002552,10,model_v10_1770925039_9fea6297,0.002552,f540a29da85281020240725f6cfa4295dcd8cec3e146a9550417c8b1f0f86da3,,,0.000000,,4.199552,0,10,10,4.199552,50000,QmcAaWyohkyGD5QWd5XmyZWh4x17Mmt1o9Ajs9YjLByQna,,0.286052,,,9524489,0.286052,QmRZUQFiU6GyfLrdrNbFvJdiia2sCfZv9V6ZPR333SAaEi,0.031664,model_v10_1770925039_9fea6297,9470505,0.031664,58.010000,1.918480,7.509502,model_v10_1770925039_9fea6297,1.918480,9
2887680,2,13081616,7979216,2026-02-12T19:38:09Z,cifar10,true,100,10,10,98.000000,6.440000,0,1032192,0.543739,8360505344.000000,8370495488,8350515200,9540574,9490516,2,0.001350,true,0.001350,0.007582,model_v1_1770924634_4fc1f678,0.007582,0.005931,2,0.005931,0.001813,model_v11_1770925086_53d69401,0.001813,tx_validation_model_v11_1770925086_53d69401,0.002793,11,model_v11_1770925086_53d69401,0.002793,7699c2c6fb2b5cdf6c008effcecbc72b19e6378a5126d06fd4d79fa65d3ede08,,,0.000000,,4.157522,0,11,10,4.157522,50000,QmQ6k3EzxQe7WYrDg9nJ3KvGFrDgmbrDvCL3aFtKnFV26u,,0.300353,,,9529109,0.300353,QmaGrCckLNbxqBEtj7iVRgWn1k8ZWVRM53b7VZVV3gjFVy,0.021873,model_v11_1770925086_53d69401,9464009,0.021873,59.320000,1.612098,7.483764,model_v11_1770925086_53d69401,1.612098,10
1231112,3,13081616,8982736,2026-02-12T19:38:49Z,cifar10,true,100,10,10,98.000000,6.040000,0,1056768,0.508792,8331026432.000000,8333438976,8328613888,9622171,9486830,2,0.002223,true,0.002223,0.000659,model_v1_1770924634_4fc1f678,0.000659,0.021006,2,0.021006,0.001519,model_v12_1770925127_c6f6f73b,0.001519,tx_validation_model_v12_1770925127_c6f6f73b,0.002932,12,model_v12_1770925127_c6f6f73b,0.002932,99f666e6c24f38794a548b18e6fd23db4589f8c6adc8ce1cb84ce40a27897a11,,,0.000000,,4.128954,0,12,10,4.128954,50000,QmSXr6L3bCDkj8DWN4QSdgJGvz5bGwRtE7XSfUVx58MS1D,blockchain_write,0.314405,,,9566797,0.314405,QmNq7J6Uh7q979brCQhdgGFnVi3C7iVHDG93Uepvdmhm5g,0.028471,model_v12_1770925127_c6f6f73b,9458541,0.028471,60.650000,1.622639,7.552104,model_v12_1770925127_c6f6f73b,1.622639,11
