scenario_blockchain_enabled,scenario_dataset_name,scenario_ipfs_enabled,scenario_max_iterations (iterations),scenario_max_rollbacks (rollbacks),scenario_num_clients (clients),scenario_target_accuracy (%),system_cpu_total_time_seconds (seconds),system_disk_total_bytes_read (bytes),system_disk_total_bytes_written (bytes),system_duration_seconds (seconds),system_memory_avg_used_bytes (bytes),system_memory_max_used_bytes (bytes),system_memory_min_used_bytes (bytes),system_network_total_bytes_recv (bytes),system_network_total_bytes_sent (bytes),system_sample_count (operations),timing_blockchain_register_duration (seconds),timing_blockchain_register_iteration,timing_blockchain_register_model_version_id,timing_blockchain_register_transaction_id,timing_fedavg_aggregation_duration (seconds),timing_fedavg_aggregation_excluded_clients,timing_fedavg_aggregation_iteration,timing_fedavg_aggregation_num_clients (clients),timing_fedavg_aggregation_total_samples,timing_ipfs_upload_cid,timing_ipfs_upload_duration (seconds),timing_ipfs_upload_model_version_id,timing_ipfs_upload_size_bytes (bytes),timing_model_validation_accuracy (%),timing_model_validation_duration (seconds),timing_model_validation_loss (value),timing_model_validation_model_version_id,timing_sample_index
true,,true,100,10,10,98.000000,6.420000,0,1294336,0.542239,5402011648.000000,5423845376,5380177920,9816557,9717464,2,0.004706859588623047,1,model_v1_1770494429_c08f194c,tx_model_v1_1770494429_c08f194c,4.89690637588501,0,1,11,17291,QmZYMcDePbsjZq1UzT7pfNvZGvZiEZWG7QXcQZvmUnT9Ea,0.023990392684936523,model_v1_1770494429_c08f194c,9667107,30.543099,0.20117449760437012,1.965376,model_v1_1770494429_c08f194c,0
true,,true,100,10,10,98.000000,6.150000,0,1220608,0.528879,5643390976.000000,5646233600,5640548352,9046699,8874859,2,0.004664421081542969,2,model_v2_1770494449_c6933fa5,tx_model_v2_1770494449_c6933fa5,4.793994665145874,0,2,11,17291,QmeCmNCzzcQgkApiwYjzxddS7CRM158YWwLt3UXH77J96s,0.01865243911743164,model_v2_1770494449_c6933fa5,8815676,5.929248,0.1960756778717041,2037.493525,model_v2_1770494449_c6933fa5,1
true,,true,100,10,10,98.000000,6.250000,0,1118208,0.528118,5840001024.000000,5842972672,5837029376,9657834,9544831,2,0.006303071975708008,3,model_v3_1770494478_9c19c9b4,tx_model_v3_1770494478_9c19c9b4,4.246505975723267,0,3,10,7291,QmRTzjhZBhN8eVLhcRvvfVqNkByHLCbu52K3WGmqXQZKzo,0.030556201934814453,model_v3_1770494478_9c19c9b4,9510124,44.494270,0.19780921936035156,2.438248,model_v3_1770494478_9c19c9b4,2
true,,true,100,10,10,98.000000,6.400000,0,880640,0.542799,5925513216.000000,5928546304,5922480128,9836544,9542902,2,0.005506992340087891,4,model_v4_1770494493_10f6470d,tx_model_v4_1770494493_10f6470d,4.3747193813323975,0,4,10,7291,QmQ7WkMsDnevJHbtTcH1sMMyS7gwBKXitrUPTGL44rBBHV,0.03670215606689453,model_v4_1770494493_10f6470d,9505022,65.719980,0.2412412166595459,4.672794,model_v4_1770494493_10f6470d,3
true,,true,100,10,10,98.000000,6.510000,0,1048576,0.552191,5922476032.000000,5926436864,5918515200,9647159,9530257,2,0.006060361862182617,5,model_v5_1770494514_bb220d7e,tx_model_v5_1770494514_bb220d7e,4.7637622356414795,0,5,10,7291,QmegagKbVz3oHk6Vnsun8oVPbPVkQC7awXy5HFeqVaS9E9,0.019367456436157227,model_v5_1770494514_bb220d7e,9498026,79.770802,0.19017434120178223,3.903420,model_v5_1770494514_bb220d7e,4
true,,true,100,10,10,98.000000,6.220000,0,999424,0.526712,6037868544.000000,6080159744,5995577344,9647060,9525799,2,0.0060367584228515625,6,model_v6_1770494535_0293111e,tx_model_v6_1770494535_0293111e,4.433361768722534,0,6,10,7291,Qmd5rhqofjBG4DSqzQV4adtnobfWCdT4sKitQXF6mCX9c1,0.028337955474853516,model_v6_1770494535_0293111e,9494030,85.899352,0.1947040557861328,3.673345,model_v6_1770494535_0293111e,5
true,,true,100,10,10,98.000000,6.810000,0,1105920,0.575863,5968392192.000000,5973094400,5963689984,9780194,9562452,2,0.006212949752807617,7,model_v7_1770494557_9dbe50c7,tx_model_v7_1770494557_9dbe50c7,5.2405617237091064,0,7,10,7291,QmSAsTshD3bPjiznQC2TSMhMKhG1rfehfgfBdFpszKiKpn,0.03346514701843262,model_v7_1770494557_9dbe50c7,9490856,88.340807,0.21070313453674316,3.663737,model_v7_1770494557_9dbe50c7,6
true,,true,100,10,10,98.000000,8.040000,0,68411392,0.677363,6009812992.000000,6017896448,6001729536,9685647,9536322,2,0.0050830841064453125,8,model_v8_1770494577_b1cb838c,tx_model_v8_1770494577_b1cb838c,4.463831901550293,0,8,10,7291,QmXv4sXDbQ5DnVvDgsT5Ro3FsW79xGAdGejqFFftetoDFb,0.03390955924987793,model_v8_1770494577_b1cb838c,9488445,89.586447,0.19568705558776855,3.624058,model_v8_1770494577_b1cb838c,7
true,,true,100,10,10,98.000000,6.950000,0,1253376,0.591224,5969049600.000000,5975564288,5962534912,9741277,9558266,2,0.007100105285644531,9,model_v9_1770494593_ca5d4578,tx_model_v9_1770494593_ca5d4578,4.37064790725708,0,9,10,7291,QmbdbAmphyytapxT59N66FC1a6C9ijhiQCHmbcdQaPCqeM,0.028516292572021484,model_v9_1770494593_ca5d4578,9487179,90.881913,0.20499396324157715,3.505039,model_v9_1770494593_ca5d4578,8
true,,true,100,10,10,98.000000,6.260000,0,950272,0.531657,6047739904.000000,6054084608,6041395200,9696938,9522911,2,0.0065441131591796875,10,model_v10_1770494614_9c8b0b7a,tx_model_v10_1770494614_9c8b0b7a,4.223610162734985,0,10,10,7291,QmPX9ijABdSChKLGHw88k4ekMtT6aHbdyvZhjByZ8F9aQq,0.021141529083251953,model_v10_1770494614_9c8b0b7a,9485264,91.679123,0.1940162181854248,3.457041,model_v10_1770494614_9c8b0b7a,9
true,,true,100,10,10,98.000000,6.200000,0,4993024,0.526460,6077220864.000000,6078328832,6076112896,9644233,9515499,2,0.008715391159057617,11,model_v11_1770494634_7231ae19,tx_model_v11_1770494634_7231ae19,4.4036030769348145,0,11,10,7291,QmbaMpENchfx4nauX4KhUMtH4Rsf2sSQMYnLxDoc7cbkWC,0.022347688674926758,model_v11_1770494634_7231ae19,9483592,91.978077,0.2015981674194336,3.531464,model_v11_1770494634_7231ae19,10
true,,true,100,10,10,98.000000,6.430000,0,1191936,0.548643,6170738688.000000,6212399104,6129078272,9659650,9532105,2,0.007207393646240234,12,model_v12_1770494650_85e727d3,tx_model_v12_1770494650_85e727d3,4.454059839248657,0,12,10,7291,QmYmrvrCQgRZifwQdbiAeoPwJRkJg3xYPPUrFVdMmxYxMi,0.021616697311401367,model_v12_1770494650_85e727d3,9482534,92.526158,0.18598675727844238,3.582957,model_v12_1770494650_85e727d3,11
true,,true,100,10,10,98.000000,8.280000,0,1069056,0.714842,6062839808.000000,6071463936,6054215680,9735713,9532356,2,0.043247222900390625,13,model_v13_1770494666_cd82442d,tx_model_v13_1770494666_cd82442d,4.378300905227661,0,13,10,7291,QmSGmVb98BSDvy2LF5dmbkL3yJspMJMRFZWo8jo5h4KfBw,0.038964271545410156,model_v13_1770494666_cd82442d,9480793,92.675635,0.23309588432312012,3.565876,model_v13_1770494666_cd82442d,12
