scenario_blockchain_enabled,scenario_dataset_name,scenario_ipfs_enabled,scenario_max_iterations (iterations),scenario_max_rollbacks (rollbacks),scenario_num_clients (clients),scenario_target_accuracy (%),system_cpu_total_time_seconds (seconds),system_disk_total_bytes_read (bytes),system_disk_total_bytes_written (bytes),system_duration_seconds (seconds),system_memory_avg_used_bytes (bytes),system_memory_max_used_bytes (bytes),system_memory_min_used_bytes (bytes),system_network_total_bytes_recv (bytes),system_network_total_bytes_sent (bytes),system_sample_count (operations),timing_blockchain_register_duration (seconds),timing_blockchain_register_iteration,timing_blockchain_register_model_version_id,timing_blockchain_register_transaction_id,timing_fedavg_aggregation_duration (seconds),timing_fedavg_aggregation_excluded_clients,timing_fedavg_aggregation_iteration,timing_fedavg_aggregation_num_clients (clients),timing_fedavg_aggregation_total_samples,timing_ipfs_upload_cid,timing_ipfs_upload_duration (seconds),timing_ipfs_upload_model_version_id,timing_ipfs_upload_size_bytes (bytes),timing_model_validation_accuracy (%),timing_model_validation_duration (seconds),timing_model_validation_loss (value),timing_model_validation_model_version_id,timing_sample_index
true,,true,100,10,2,98.000000,6.010000,0,1060864,0.510863,2890631168.000000,2905186304,2876076032,9713630,9563452,2,0.004508018493652344,1,model_v1_1770486425_0a94135c,tx_model_v1_1770486425_0a94135c,0.890388011932373,0,1,2,50000,QmUHJF2zu565dKDNMV9bfAUBN3ZchyBdeadDJJi3kcJL8C,0.02689051628112793,model_v1_1770486425_0a94135c,9508426,42.580000,1.5416207313537598,2.404063,model_v1_1770486425_0a94135c,0
true,,true,100,10,2,98.000000,5.830000,0,1003520,0.497104,3063478272.000000,3068448768,3058507776,9582197,9479107,2,0.004561662673950195,2,model_v2_1770486458_6e2efc79,tx_model_v2_1770486458_6e2efc79,0.8359432220458984,0,2,2,50000,QmTNeAEHa88nmLfp5WDFVRfTg9EBDbScmhPquZbMRnJ38j,0.020013093948364258,model_v2_1770486458_6e2efc79,9447957,55.880000,1.7397384643554688,4.630900,model_v2_1770486458_6e2efc79,1
true,,true,100,10,2,98.000000,7.050000,0,716800,0.608311,3098089472.000000,3136802816,3059376128,9644344,9464681,2,0.008249521255493164,3,model_v3_1770486495_1ce7856b,tx_model_v3_1770486495_1ce7856b,0.9523758888244629,0,3,2,50000,QmNVQ18K3KStw7niHeGWTycJvtDJPmSwFmC3ceQyWstcmn,0.02178049087524414,model_v3_1770486495_1ce7856b,9421085,61.430000,1.7518703937530518,6.192173,model_v3_1770486495_1ce7856b,2
true,,true,100,10,2,98.000000,9.680000,0,851968,0.849340,3342624768.000000,3355627520,3329622016,9674652,9458077,2,0.0064754486083984375,4,model_v4_1770486542_13b52f27,tx_model_v4_1770486542_13b52f27,1.1691389083862305,0,4,2,50000,QmWrbpJ8Q4aGfoAxnGjLFRZLig8WBzfu2pxaaPmQcKMN9D,0.061235666275024414,model_v4_1770486542_13b52f27,9401354,64.710000,3.8924527168273926,6.167667,model_v4_1770486542_13b52f27,3
true,,true,100,10,2,98.000000,6.210000,0,999424,0.525618,3048314880.000000,3057020928,3039608832,9442524,9413514,2,0.004578590393066406,5,model_v5_1770486657_b515986a,tx_model_v5_1770486657_b515986a,0.9491994380950928,0,5,2,50000,QmNmXrJqNrjNX8ZXd4mL9wnGh5ZDVc5eK4q3XoHDF6QrFt,0.028821945190429688,model_v5_1770486657_b515986a,9389244,67.100000,1.607412576675415,6.272938,model_v5_1770486657_b515986a,4
true,,true,100,10,2,98.000000,5.760000,0,1060864,0.487838,3100538880.000000,3106582528,3094495232,9560439,9413927,2,0.004957914352416992,6,model_v6_1770486696_8ecfd881,tx_model_v6_1770486696_8ecfd881,0.8414444923400879,0,6,2,50000,QmSgfJuzFXBjJ1RHMGeow4QpULka2qwA7MEp91QxGB7Zhh,0.019039392471313477,model_v6_1770486696_8ecfd881,9376667,67.710000,1.6574535369873047,6.696234,model_v6_1770486696_8ecfd881,5
true,,true,100,10,2,98.000000,6.170000,0,1032192,0.523354,3120730112.000000,3121045504,3120414720,9559007,9419136,2,0.004940032958984375,7,model_v7_1770486730_b06932e8,tx_model_v7_1770486730_b06932e8,0.849024772644043,0,7,2,50000,QmPc73TQAgLKBWS9DtGdtAVUJctZ2UxkfeAZXtQnJ27Jxq,0.04191994667053223,model_v7_1770486730_b06932e8,9366226,68.460000,1.7156100273132324,6.943026,model_v7_1770486730_b06932e8,6
true,,true,100,10,2,98.000000,5.760000,0,913408,0.489652,3134425088.000000,3137683456,3131166720,9519586,9393922,2,0.005196571350097656,8,model_v8_1770486764_4922576c,tx_model_v8_1770486764_4922576c,0.8309807777404785,0,8,2,50000,QmdFeMYT56L11fLe3sKTJE9ymKfrkYHZfB1jEJ5UtZUe3f,0.020862817764282227,model_v8_1770486764_4922576c,9357337,69.170000,1.5343437194824219,7.094034,model_v8_1770486764_4922576c,7
true,,true,100,10,2,98.000000,5.780000,0,929792,0.492215,3130208256.000000,3136974848,3123441664,9515615,9395691,2,0.004702091217041016,9,model_v9_1770486797_7c604ed6,tx_model_v9_1770486797_7c604ed6,0.8647134304046631,0,9,2,50000,QmY9w8T9qSczhbwQdX76H13EUMEeAmmYyPGYhV3EG7KbKC,0.025435924530029297,model_v9_1770486797_7c604ed6,9349257,70.080000,1.6109378337860107,7.325999,model_v9_1770486797_7c604ed6,8
true,,true,100,10,2,98.000000,8.570000,0,925696,0.731380,3175673856.000000,3177611264,3173736448,9405017,9375405,2,0.008597135543823242,10,model_v10_1770486830_dd805faa,tx_model_v10_1770486830_dd805faa,0.8494946956634521,0,10,2,50000,QmXaFhcuhwY1Ym2c6ZcEDCUhyXQkj1HJvUGnDuJbxZc2q2,0.02803325653076172,model_v10_1770486830_dd805faa,9342080,70.890000,1.737224817276001,7.707035,model_v10_1770486830_dd805faa,9
