blockchain_service_memory_alloc_bytes (bytes),blockchain_service_memory_num_gc,blockchain_service_memory_sys_bytes (bytes),blockchain_service_memory_total_alloc_bytes (bytes),blockchain_service_timestamp,scenario_dataset_name,scenario_ipfs_enabled,scenario_max_iterations (iterations),scenario_max_rollbacks (rollbacks),scenario_num_clients (clients),scenario_target_accuracy (%),system_cpu_total_time_seconds (seconds),system_disk_total_bytes_read (bytes),system_disk_total_bytes_written (bytes),system_duration_seconds (seconds),system_memory_avg_used_bytes (bytes),system_memory_max_used_bytes (bytes),system_memory_min_used_bytes (bytes),system_network_total_bytes_recv (bytes),system_network_total_bytes_sent (bytes),system_sample_count (operations),timing_blockchain_get_most_recent_rollback_duration (seconds),timing_blockchain_get_most_recent_rollback_found,timing_blockchain_get_most_recent_rollback_total_duration (seconds),timing_blockchain_get_provenance_duration (seconds),timing_blockchain_get_provenance_model_version_id,timing_blockchain_get_provenance_total_duration (seconds),timing_blockchain_list_models_duration (seconds),timing_blockchain_list_models_total,timing_blockchain_list_models_total_duration (seconds),timing_blockchain_record_validation_duration (seconds),timing_blockchain_record_validation_model_version_id,timing_blockchain_record_validation_total_duration (seconds),timing_blockchain_record_validation_transaction_id,timing_blockchain_register_duration (seconds),timing_blockchain_register_iteration,timing_blockchain_register_model_version_id,timing_blockchain_register_total_duration (seconds),timing_blockchain_register_transaction_id,timing_fedavg_aggregation_duration (seconds),timing_fedavg_aggregation_excluded_clients,timing_fedavg_aggregation_iteration,timing_fedavg_aggregation_num_clients (clients),timing_fedavg_aggregation_total_duration (seconds),timing_fedavg_aggregation_total_samples,timing_ipfs_download_cid,timing_ipfs_download_context,timing_ipfs_download_duration (seconds),timing_ipfs_download_model_version_id,timing_ipfs_download_parent_version_id,timing_ipfs_download_size_bytes (bytes),timing_ipfs_download_total_duration (seconds),timing_ipfs_upload_cid,timing_ipfs_upload_duration (seconds),timing_ipfs_upload_model_version_id,timing_ipfs_upload_size_bytes (bytes),timing_ipfs_upload_total_duration (seconds),timing_model_validation_accuracy (%),timing_model_validation_duration (seconds),timing_model_validation_loss (value),timing_model_validation_model_version_id,timing_model_validation_total_duration (seconds),timing_sample_index
614440,0,7969808,614440,2026-02-12T19:07:32Z,usps,true,100,10,10,98.000000,7.260000,0,868352,0.618224,4955684864.000000,4981309440,4930060288,9727592,9565241,2,0.001472,false,0.001472,0.001235,model_v0_initial_1770923231_315e3321,0.001235,0.011720,1,0.011720,0.001392,model_v1_1770923250_4c5ae1a9,0.001392,tx_validation_model_v1_1770923250_4c5ae1a9,0.001354,1,model_v1_1770923250_4c5ae1a9,0.001354,314570a220ae05fdc24bf7a63a36dcf35c6ba878a7c94091cf5d21436c407a5c,4.537180,0,1,10,4.537180,7291,QmY9gc4bKEcLmDGkGgySNvKuUKk3JkBJxEfP6xEbH8CWTv,,0.435496,,,9513640,0.435496,Qmah6424Hp4nJzTYs2oniga7euGPT2XpVNWFbHKmrVNkWH,0.020572,model_v1_1770923250_4c5ae1a9,9515697,0.020572,30.941704,0.191826,2.981922,model_v1_1770923250_4c5ae1a9,0.191826,0
879008,0,7969808,879008,2026-02-12T19:07:48Z,usps,true,100,10,10,98.000000,6.010000,0,1220608,0.508508,5091297280.000000,5121622016,5060972544,9767814,9574152,2,0.001275,false,0.001275,0.001516,model_v0_initial_1770923231_315e3321,0.001516,0.007007,1,0.007007,0.002194,model_v2_1770923267_64df7fce,0.002194,tx_validation_model_v2_1770923267_64df7fce,0.001139,2,model_v2_1770923267_64df7fce,0.001139,2e96aa804a77f374122dcbc01c52e3422775a64d721fe5ff9baccae66a183a25,4.320168,0,2,10,4.320168,7291,QmQUWZjWnUWLMck2GgXVRaHSm1nacK4qAAs7o8SRZ3CDYM,,0.327406,,,9513849,0.327406,Qmeh1RLukTk5JWgXdgu7m2udUMJQoyW3kc7Ck9ztJntPWV,0.026525,model_v2_1770923267_64df7fce,9510732,0.026525,59.292476,0.182757,3.925189,model_v2_1770923267_64df7fce,0.182757,1
1071608,0,7969808,1071608,2026-02-12T19:08:02Z,usps,true,100,10,10,98.000000,6.350000,0,1187840,0.541895,5182150656.000000,5207728128,5156573184,9740822,9564839,2,0.001719,false,0.001719,0.001367,model_v1_1770923250_4c5ae1a9,0.001367,0.002735,1,0.002735,0.001494,model_v3_1770923281_cd900b61,0.001494,tx_validation_model_v3_1770923281_cd900b61,0.001219,3,model_v3_1770923281_cd900b61,0.001219,a645bc4213485bcf26552d23921b0b2c30ca9f6237e0b8517c0fe86261ce10a4,4.138570,0,3,10,4.138570,7291,QmcCfrM7eSNZLJKDxpoePhL68TGS7pAuLSsreaNQjRpQQ1,,0.305656,,,9513888,0.305656,Qmb86r159s8GoRzpWSE9m1tRz8XUHjfqrCZTRQT73kwTGN,0.018123,model_v3_1770923281_cd900b61,9504335,0.018123,78.375685,0.206087,3.185303,model_v3_1770923281_cd900b61,0.206087,2
1371920,0,8231952,1371920,2026-02-12T19:08:17Z,usps,true,100,10,10,98.000000,6.660000,0,1105920,0.561975,5198782464.000000,5215887360,5181677568,9684272,9546990,2,0.001217,false,0.001217,0.008080,model_v1_1770923250_4c5ae1a9,0.008080,0.149354,1,0.149354,0.001288,model_v4_1770923295_8240bc50,0.001288,tx_validation_model_v4_1770923295_8240bc50,0.001177,4,model_v4_1770923295_8240bc50,0.001177,f01d3553c0af3d1c5b47ae5fc96784af76e6f14464f42c8f612d5e00b4ec6039,4.386120,0,4,10,4.386120,7291,QmZp4aLr78BHe6586FJm7rwxhcbKxmp5tJiuunhpruVpLP,,0.320812,,,9509501,0.320812,QmUitqkMxwq9N8tYsRvEzvSfwCjzJV3wqJD4gRfyuwRZLA,0.030212,model_v4_1770923295_8240bc50,9499647,0.030212,84.902840,0.172563,3.067895,model_v4_1770923295_8240bc50,0.172563,3
1650608,0,8231952,1650608,2026-02-12T19:08:31Z,usps,true,100,10,10,98.000000,5.860000,0,1003520,0.494162,5229185024.000000,5234225152,5224144896,9728207,9557589,2,0.001378,false,0.001378,0.004034,model_v1_1770923250_4c5ae1a9,0.004034,0.001449,1,0.001449,0.001301,model_v5_1770923310_7a6af286,0.001301,tx_validation_model_v5_1770923310_7a6af286,0.000937,5,model_v5_1770923310_7a6af286,0.000937,898d3ec748c085a220b790e1c3a3535a0ee259722ad57fca693d5bc6fe7c68d8,4.194695,0,5,10,4.194695,7291,QmQUWZjWnUWLMck2GgXVRaHSm1nacK4qAAs7o8SRZ3CDYM,,0.321318,,,9513849,0.321318,QmeSTUmZaCbaVkt3hHgk1CtoPiFxY32maQsUtmNoz9FTKU,0.025977,model_v5_1770923310_7a6af286,9496161,0.025977,88.490284,0.169275,3.088576,model_v5_1770923310_7a6af286,0.169275,4
1947400,0,8231952,1947400,2026-02-12T19:08:46Z,usps,true,100,10,10,98.000000,6.160000,0,1142784,0.517922,5308923904.000000,5329719296,5288128512,9715183,9552926,2,0.001345,false,0.001345,0.356198,model_v1_1770923250_4c5ae1a9,0.356198,0.015141,2,0.015141,0.001142,model_v6_1770923324_4362cf0e,0.001142,tx_validation_model_v6_1770923324_4362cf0e,0.001119,6,model_v6_1770923324_4362cf0e,0.001119,5c1a09bc1a0bb49b499af14f11986aae2d32f3ed779e50c35bed0efce1544aa7,4.202350,0,6,10,4.202350,7291,QmcCfrM7eSNZLJKDxpoePhL68TGS7pAuLSsreaNQjRpQQ1,,0.299700,,,9513888,0.299700,QmQqELzyRRHfPcSA8hiZtN4qxzKDqD1Cn9GYXiDZJFVWQF,0.025719,model_v6_1770923324_4362cf0e,9494084,0.025719,89.436971,0.168140,3.081357,model_v6_1770923324_4362cf0e,0.168140,5
2321576,0,8231952,2321576,2026-02-12T19:09:01Z,usps,true,100,10,10,98.000000,6.520000,0,917504,0.555356,5291653120.000000,5302951936,5280354304,9631148,9524615,2,0.001270,false,0.001270,0.000577,model_v1_1770923250_4c5ae1a9,0.000577,0.010860,2,0.010860,0.001072,model_v7_1770923339_88d75561,0.001072,tx_validation_model_v7_1770923339_88d75561,0.001419,7,model_v7_1770923339_88d75561,0.001419,df46785ba899b67381396391f0039e75372ecc52c03ec51d5dae88990cdf61a4,4.489644,0,7,10,4.489644,7291,QmWUQax2PwvHmsyHwGKu2ywa9U2iaAhqdFFoCfvxEcaZoM,,0.314324,,,9515671,0.314324,QmVq4fAWzifWeVHciQ55u3GFVFAHpNoRNaswiHVAvPJcRN,0.023791,model_v7_1770923339_88d75561,9491593,0.023791,90.732436,0.174187,3.065358,model_v7_1770923339_88d75561,0.174187,6
2686472,0,12426256,2686472,2026-02-12T19:09:15Z,usps,true,100,10,10,98.000000,6.240000,0,1003520,0.526226,5299322880.000000,5311729664,5286916096,9740148,9551720,2,0.001198,false,0.001198,0.000547,model_v0_initial_1770923231_315e3321,0.000547,0.188517,2,0.188517,0.001197,model_v8_1770923353_fd46ec8f,0.001197,tx_validation_model_v8_1770923353_fd46ec8f,0.001293,8,model_v8_1770923353_fd46ec8f,0.001293,bbe5f37480892d99b208b6eb78c4488d7af0144c9bd3064170e2ad5402d32b14,4.192919,0,8,10,4.192919,7291,QmRz93LdGyy6Tq7E3PaDtf918mMFvaemqkaC18PoJPqnpX,,0.301530,,,9515766,0.301530,QmeCQ37wP8otUdCHTBHiPgikszecJjNGtTdFKebWB5TVTo,0.028153,model_v8_1770923353_fd46ec8f,9490742,0.028153,91.778774,0.186100,3.024409,model_v8_1770923353_fd46ec8f,0.186100,7
3200096,0,12426256,3200096,2026-02-12T19:09:34Z,usps,true,100,10,10,98.000000,6.160000,0,892928,0.518867,5388652544.000000,5389062144,5388242944,9682575,9541540,2,0.001295,false,0.001295,0.000485,model_v1_1770923250_4c5ae1a9,0.000485,0.000541,2,0.000541,0.001084,model_v9_1770923373_03fc598a,0.001084,tx_validation_model_v9_1770923373_03fc598a,0.001176,9,model_v9_1770923373_03fc598a,0.001176,f516f5c05de672d78f774ba77391aac3a9755f969d485bf8508b9a2ba596850d,4.241783,0,9,10,4.241783,7291,QmcCfrM7eSNZLJKDxpoePhL68TGS7pAuLSsreaNQjRpQQ1,,0.314163,,,9513888,0.314163,QmQuGEsVbodZPs2tACd9Qc82oZWkQc9NWey9i7ZDBd8FeC,0.027043,model_v9_1770923373_03fc598a,9489517,0.027043,92.027902,0.166096,3.056041,model_v9_1770923373_03fc598a,0.166096,8
558728,1,13016080,3647400,2026-02-12T19:09:49Z,usps,true,100,10,10,98.000000,6.140000,0,1114112,0.520459,5376903168.000000,5390585856,5363220480,9741180,9540831,2,0.001457,false,0.001457,0.000538,model_v0_initial_1770923231_315e3321,0.000538,0.002325,3,0.002325,0.001117,model_v10_1770923388_4f994b74,0.001117,tx_validation_model_v10_1770923388_4f994b74,0.001277,10,model_v10_1770923388_4f994b74,0.001277,6f981c3093a047b2a0f5429c8cc38ef7f095ab6f80c98da0877a15d5f2ad476f,4.364163,0,10,10,4.364163,7291,QmeGSSJnzxyjAKFt4j316Ud3gRaspbTVBNQvnYieKvh4Tr,,0.313238,,,9515143,0.313238,QmZCNvqqXztRN7UXk36G3NcrtXV2Mv1RMWrjtuqmtuSrpt,0.028529,model_v10_1770923388_4f994b74,9487913,0.028529,92.227205,0.172521,3.082852,model_v10_1770923388_4f994b74,0.172521,9
