blockchain_service_memory_alloc_bytes (bytes),blockchain_service_memory_num_gc,blockchain_service_memory_sys_bytes (bytes),blockchain_service_memory_total_alloc_bytes (bytes),blockchain_service_timestamp,scenario_dataset_name,scenario_ipfs_enabled,scenario_max_iterations (iterations),scenario_max_rollbacks (rollbacks),scenario_num_clients (clients),scenario_target_accuracy (%),system_cpu_total_time_seconds (seconds),system_disk_total_bytes_read (bytes),system_disk_total_bytes_written (bytes),system_duration_seconds (seconds),system_memory_avg_used_bytes (bytes),system_memory_max_used_bytes (bytes),system_memory_min_used_bytes (bytes),system_network_total_bytes_recv (bytes),system_network_total_bytes_sent (bytes),system_sample_count (operations),timing_blockchain_get_most_recent_rollback_duration (seconds),timing_blockchain_get_most_recent_rollback_found,timing_blockchain_get_most_recent_rollback_total_duration (seconds),timing_blockchain_get_provenance_duration (seconds),timing_blockchain_get_provenance_model_version_id,timing_blockchain_get_provenance_total_duration (seconds),timing_blockchain_list_models_duration (seconds),timing_blockchain_list_models_total,timing_blockchain_list_models_total_duration (seconds),timing_blockchain_record_validation_duration (seconds),timing_blockchain_record_validation_model_version_id,timing_blockchain_record_validation_total_duration (seconds),timing_blockchain_record_validation_transaction_id,timing_blockchain_register_duration (seconds),timing_blockchain_register_iteration,timing_blockchain_register_model_version_id,timing_blockchain_register_total_duration (seconds),timing_blockchain_register_transaction_id,timing_blockchain_rollback_duration (seconds),timing_blockchain_rollback_target_version_id,timing_blockchain_rollback_total_duration (seconds),timing_blockchain_rollback_transaction_id,timing_fedavg_aggregation_duration (seconds),timing_fedavg_aggregation_excluded_clients,timing_fedavg_aggregation_iteration,timing_fedavg_aggregation_num_clients (clients),timing_fedavg_aggregation_total_duration (seconds),timing_fedavg_aggregation_total_samples,timing_ipfs_download_cid,timing_ipfs_download_context,timing_ipfs_download_duration (seconds),timing_ipfs_download_model_version_id,timing_ipfs_download_parent_version_id,timing_ipfs_download_size_bytes (bytes),timing_ipfs_download_total_duration (seconds),timing_ipfs_upload_cid,timing_ipfs_upload_duration (seconds),timing_ipfs_upload_model_version_id,timing_ipfs_upload_size_bytes (bytes),timing_ipfs_upload_total_duration (seconds),timing_model_validation_accuracy (%),timing_model_validation_duration (seconds),timing_model_validation_loss (value),timing_model_validation_model_version_id,timing_model_validation_total_duration (seconds),timing_sample_index
676792,0,7707664,676792,2026-02-12T19:17:26Z,usps,true,100,10,10,98.000000,7.940000,0,1064960,0.675205,5286248448.000000,5291761664,5280735232,9772603,9693900,2,0.001263,false,0.001263,0.001620,model_v0_initial_1770923825_0fb3a94a,0.001620,0.013242,1,0.013242,0.001871,model_v1_1770923844_7dd1327c,0.001871,tx_validation_model_v1_1770923844_7dd1327c,0.001545,1,model_v1_1770923844_7dd1327c,0.001545,8741bf0b49be2069c5fdf6094cd488c6831f0c8c43dd0c0f65e14d454dd7c47a,0.002765,model_v0_initial_1770923825_0fb3a94a,0.002765,6e23d54c7f8c97edc5d2e6a9a4f7aeb922a70e6a5f3416df53cc93d32915af9c,4.298132,0,1,11,4.298132,17290,QmWdrf3xsjrBypYb3C5JEx8xdxBoH2q8WpX3JccGbw32kA,,0.040200,,,2125446,0.040200,QmVQZgEnsKJi51u7W3fdc3ApUg9RqQmeL5kry9KzDAW1Dz,0.022308,model_v1_1770923844_7dd1327c,9662353,0.022308,31.489786,0.212895,1.820599,model_v1_1770923844_7dd1327c,0.212895,0
930088,0,7969808,930088,2026-02-12T19:17:46Z,usps,true,100,10,10,98.000000,5.590000,0,991232,0.472421,5468940288.000000,5471080448,5466800128,9030189,8874302,2,0.001350,true,0.001350,0.001947,model_v0_initial_1770923825_0fb3a94a,0.001947,0.011856,1,0.011856,0.001107,model_v2_1770923865_4ab06232,0.001107,tx_validation_model_v2_1770923865_4ab06232,0.001151,2,model_v2_1770923865_4ab06232,0.001151,be9a6b4366aff6da89d4221fda265becefe3ea368ecd274d5e6d54173c986184,,,0.000000,,4.763850,0,2,11,4.763850,17290,QmNYmJSn2BqAb3bJkj2bALNG3iP587Spc4aT2n46vnDZd6,,0.295384,,,9511299,0.295384,QmVWPedfZo63X4hX1m2i4rceXPU7DcvbuchVW7hgVRxqxz,0.019347,model_v2_1770923865_4ab06232,8814289,0.019347,8.470354,0.169027,3832.889586,model_v2_1770923865_4ab06232,0.169027,1
1296520,0,7969808,1296520,2026-02-12T19:18:09Z,usps,true,100,10,10,98.000000,7.100000,0,3420160,0.612301,5682698240.000000,5695082496,5670313984,9694840,9543523,2,0.001573,true,0.001573,0.001604,model_v1_1770923844_7dd1327c,0.001604,0.002947,1,0.002947,0.001276,model_v3_1770923887_029d447b,0.001276,tx_validation_model_v3_1770923887_029d447b,0.002301,3,model_v3_1770923887_029d447b,0.002301,b97e22cc11c337c6b553801c28c8c0522e3ae44975ad1a01467ed9e3b608b56d,,,0.000000,,4.378192,0,3,10,4.378192,7290,QmNYmJSn2BqAb3bJkj2bALNG3iP587Spc4aT2n46vnDZd6,,0.303900,,,9511299,0.303900,Qmbp3R8gsYvNEK1eFikQWB4wonEqeEr4cXopoM73WTS9Ed,0.029190,model_v3_1770923887_029d447b,9503986,0.029190,55.904335,0.195132,2.267457,model_v3_1770923887_029d447b,0.195132,2
1517440,0,7969808,1517440,2026-02-12T19:18:23Z,usps,true,100,10,10,98.000000,6.430000,0,19013632,0.545580,5826744320.000000,5829074944,5824413696,9737200,9548079,2,0.001775,true,0.001775,0.009353,model_v1_1770923844_7dd1327c,0.009353,0.005129,1,0.005129,0.001284,model_v4_1770923902_41837ff7,0.001284,tx_validation_model_v4_1770923902_41837ff7,0.001511,4,model_v4_1770923902_41837ff7,0.001511,b7a3a274764e9a2ef38b19479ba21fa1f1d06295e4a91e5b58d94233b5e10efb,,,0.000000,,4.387567,0,4,10,4.387567,7290,QmRscWQE7J3hjA7GvvKcbcgftuddbFwhtQXy7V6Fq3tcxA,,0.299813,,,9507867,0.299813,QmXTb7sMRYhLw7yT2fPhg32C6Wrn6i49NvJxmNqT4RffKs,0.034923,model_v4_1770923902_41837ff7,9498925,0.034923,72.047833,0.177964,4.042280,model_v4_1770923902_41837ff7,0.177964,3
1877000,0,8231952,1877000,2026-02-12T19:18:43Z,usps,true,100,10,10,98.000000,7.350000,0,1015808,0.628260,5729980416.000000,5733285888,5726674944,10186056,9547554,2,0.001483,true,0.001483,0.020546,model_v1_1770923844_7dd1327c,0.020546,0.117383,1,0.117383,0.001143,model_v5_1770923922_461f1bfd,0.001143,tx_validation_model_v5_1770923922_461f1bfd,0.002476,5,model_v5_1770923922_461f1bfd,0.002476,c8edf3e580982411395f8a56ea1404b0fe4abf1abbfc01cad9ff8caae4efe028,,,0.000000,,4.381213,0,5,10,4.381213,7290,QmYhCa2GENQQ8f35XyPGXpjZj4HDW99FcTTNeTJxE6dGvh,,0.293076,,,9509982,0.293076,QmUQAVJxctmBGx9onq5Zzi6qeEgxDjszEWKtE9UwLzUYkn,0.029111,model_v5_1770923922_461f1bfd,9493493,0.029111,83.707025,0.209285,3.429485,model_v5_1770923922_461f1bfd,0.209285,4
2189144,0,8231952,2189144,2026-02-12T19:18:58Z,usps,true,100,10,10,98.000000,7.470000,0,1163264,0.641754,5722828800.000000,5724512256,5721145344,9696040,9531924,2,0.001434,true,0.001434,0.006198,model_v1_1770923844_7dd1327c,0.006198,0.005605,2,0.005605,0.001208,model_v6_1770923936_15e2a206,0.001208,tx_validation_model_v6_1770923936_15e2a206,0.003229,6,model_v6_1770923936_15e2a206,0.003229,770d43453ebd48cad41cb8cc1af5cee20ff45fc43fc3a647a8e7376088e1555d,,,0.000000,,4.290552,0,6,10,4.290552,7290,QmYhCa2GENQQ8f35XyPGXpjZj4HDW99FcTTNeTJxE6dGvh,,0.300048,,,9509982,0.300048,QmdMdLiPa5gZw7qQoGNro1chbwLhbL7Djsr73ecfBD341x,0.032978,model_v6_1770923936_15e2a206,9489723,0.032978,87.593423,0.200504,3.384206,model_v6_1770923936_15e2a206,0.200504,5
2638576,0,12426256,2638576,2026-02-12T19:19:14Z,usps,true,100,10,10,98.000000,7.000000,0,950272,0.598978,5791803392.000000,5822914560,5760692224,9693584,9531897,2,0.002458,true,0.002458,0.281899,model_v1_1770923844_7dd1327c,0.281899,0.006429,2,0.006429,0.001440,model_v7_1770923952_dcf4f199,0.001440,tx_validation_model_v7_1770923952_dcf4f199,0.002358,7,model_v7_1770923952_dcf4f199,0.002358,c48ce59f53b9386a16416eaab095bb875acfdc95293ce7e1be01ee65dd4db6f0,,,0.000000,,4.286601,0,7,10,4.286601,7290,QmRscWQE7J3hjA7GvvKcbcgftuddbFwhtQXy7V6Fq3tcxA,,0.309772,,,9507867,0.309772,QmRbmQybNg4Pqe6ZAP57J61KnLf6KBRUcDEYRs18xNc9Rg,0.030833,model_v7_1770923952_dcf4f199,9486668,0.030833,89.287494,0.227248,3.418702,model_v7_1770923952_dcf4f199,0.227248,6
3029840,0,12426256,3029840,2026-02-12T19:19:29Z,usps,true,100,10,10,98.000000,7.690000,0,933888,0.666280,5781000192.000000,5785526272,5776474112,9732450,9544239,2,0.001415,true,0.001415,0.000549,model_v1_1770923844_7dd1327c,0.000549,0.008452,2,0.008452,0.001347,model_v8_1770923967_06376274,0.001347,tx_validation_model_v8_1770923967_06376274,0.002628,8,model_v8_1770923967_06376274,0.002628,4fdac7add573cc4ab229f0265b93f4565b1fe1f22b8b5baf515504d5ac1909d7,,,0.000000,,4.289572,0,8,10,4.289572,7290,QmNYmJSn2BqAb3bJkj2bALNG3iP587Spc4aT2n46vnDZd6,,0.310543,,,9511299,0.310543,QmRxtAQ81cQhqsBvy3AoDbATBeuA6kDSj9MNb7p3WhFxa9,0.029732,model_v8_1770923967_06376274,9484008,0.029732,90.333832,0.211863,3.351251,model_v8_1770923967_06376274,0.211863,7
3455416,0,12426256,3455416,2026-02-12T19:19:44Z,usps,true,100,10,10,98.000000,7.040000,0,1105920,0.601090,5860462592.000000,5885034496,5835890688,9754708,9543815,2,0.001386,true,0.001386,0.000607,model_v0_initial_1770923825_0fb3a94a,0.000607,0.002494,2,0.002494,0.001292,model_v9_1770923983_8d5e27ee,0.001292,tx_validation_model_v9_1770923983_8d5e27ee,0.001478,9,model_v9_1770923983_8d5e27ee,0.001478,f0c09770a499b9974b2fb30a802ac1aae8efda7934d168fcfc6da570905c87dd,,,0.000000,,4.547683,0,9,10,4.547683,7290,QmRdAEAy9XxZw8hxwDAVJ3Tcwe2BMry8SRki9vFLauh4aC,,0.299487,,,9509794,0.299487,QmVxGqe3iUXuMACEXjxvgBr11mdbQjo8pK14YCf9Vgsb2D,0.028602,model_v9_1770923983_8d5e27ee,9483033,0.028602,91.180867,0.220350,3.254918,model_v9_1770923983_8d5e27ee,0.220350,8
805000,1,13016080,3962240,2026-02-12T19:20:00Z,usps,true,100,10,10,98.000000,7.350000,0,1048576,0.637545,5930221568.000000,5967572992,5892870144,9719349,9527581,2,0.001399,true,0.001399,0.000520,model_v1_1770923844_7dd1327c,0.000520,0.004954,2,0.004954,0.001507,model_v10_1770923998_7ce71607,0.001507,tx_validation_model_v10_1770923998_7ce71607,0.002303,10,model_v10_1770923998_7ce71607,0.002303,a9167a4411639282d89649523b31558a885b3ca5f1336c74ab218a7619eee6bb,,,0.000000,,4.355033,0,10,10,4.355033,7290,QmTjaoJ9ytSER8EQpVr3MhZZybuwX7HY1qut6sN3azcjud,,0.305094,,,9510864,0.305094,QmZXBeBUyq9nyacRAgCrYHLeQuhtBBC1Fe8hFKxr7D2FVj,0.043760,model_v10_1770923998_7ce71607,9481100,0.043760,91.828600,0.193599,3.167410,model_v10_1770923998_7ce71607,0.193599,9
